Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActua,NumerodeCasosActivos,TasadeIncidenciaActivos
Antofagasta ,& 425725 ,9139 ,2146.7 ,665 ,156.2 ,661 ,155.3 
Calama ,& 190336 ,6966 ,3659.8 ,221 ,116.1 ,220 ,115.6 
Maria Elena ,6814 ,338 ,4960.4 ,5 ,73.4 ,5 ,73.4 
Mejillones ,14776 ,526 ,3559.8 ,24 ,162.4 ,24 ,162.4 
Ollague ,287 ,24 ,8362.4 ,0 ,0.0 ,O ,0.0 
San Pedro de Atacama ,& 10434 ,311 ,2980.6 ,19 ,182.1 ,19 ,182.1 
Sierra Gorda ,1746 ,77 ,4410.1 ,3 ,171.8 ,3 ,171.8 
Taltal ,& 13657 ,164 ,1200.8 ,20 ,146.4 ,20 ,146.4 
Tocopilla ,28079 ,302 ,1075.5 ,12 ,42.7 ,12 ,42.7 
Desconocido ,& - ,272 ,- ,35 ,- ,35 ,- 
Total ,691854 ,18119 ,2618.9 ,1004 ,145.1 ,999 ,144.4 
