ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada
Region de Arica y Parinacota ,252110 ,371 ,147.2 
Region de Tarapaca ,382773 ,773 ,201.9 
Region de Antofagasta ,691854 ,1315 ,190.1 
Region de Atacama ,314709 ,144 ,45.8 
Region de Coquimbo ,836096 ,197 ,23.6 
Region de Valparaiso ,1960170 ,1344 ,68.6 
Region Metropolitana de Santiago ,8125072 ,29207 ,359.5 
Region de Libertador General Bernardo OHiggins ,991063 ,324 ,32.7 
Region de Maule ,1131939 ,557 ,49.2 
Region de Nuble ,511551 ,890 ,174.0 
Region del Biobio ,1663696 ,1034 ,62.2 
Region de la Araucania ,1014343 ,1556 ,153.4 
Region de Los Rios ,405835 ,218 ,53.7 
Region de Los Lagos ,891440 ,618 ,69.3 
Region de Aysen del General Carlos ibanez del Campo ,107297 ,5 ,4.7 
Region de Magallanes y la Antartica Chilena ,178362 ,934 ,523.7 
Desconocido ,- ,26 ,- 
Total pais ,19458310 ,39513 ,203.1 
