,,,,,,,,,,NumerodeCasossegun,FechadeIniciodeSintomas.,Notificaciono,TomadeMuestra,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE SE SE 13 14 15 16 ,SE 17 ,SE SE 18 19 ,SE SE 20 21 ,SE SE SE 22 23 24 ,SE 25 ,SE SE 26 27 
Algarrobo& ,15.174 ,98 ,6458 ,6 ,395 ,8 ,527 ,8 ,527 ,0 0 1 4 ,4 0 0 0 ,2 ,4 6 ,13 10 ,7 19 18 ,6 ,4 0 
Cabildo& ,20.663 ,161 ,7792 ,6 ,290 ,48 ,2323 ,46 ,2226 ,0 0 0 0 ,0 0 0 0 ,5 ,3 4 ,6 7 ,16 20 36 ,34 ,30 0 
Calera8 ,53.591 ,339 ,6326 ,6 ,112 ,97 ,1810 ,96 ,1791 ,0 0 0 1 ,6 2 4 7 ,2 ,2 7 ,18 20 ,23 51 59 ,81 ,55 1 
Calle Larga ,16.482 ,170 ,10314 ,0 ,00 ,25 ,1517 ,25 ,1517 ,1 0 0 0 ,0 2 3 1 ,0 ,4 3 ,9 29 ,27 27 23 ,27 ,14 0 
Cartagena ,25.357 ,128 ,5048 ,2 ,79 ,28 ,1104 ,28 ,1104 ,0 0 0 0 ,0 2 0 1 ,5 ,5 12 ,7 17 ,10 16 20 ,20 ,12 1 
Casablanca ,29.170 ,130 ,4457 ,0 ,00 ,32 ,1097 ,32 ,1097 ,0 0 0 2 ,0 1 1 0 ,0 ,O 9 ,9 9 ,13 21 23 ,22 ,20 0 
Catemu ,15.213 ,72 ,4733 ,1 ,66 ,15 ,986 ,15 ,986 ,0 0 0 1 ,0 0 0 0 ,0 ,1 1 ,7 3 ,14 15 14 ,3 ,13 0 
Con Con& ,45.889 ,275 ,5993 ,4 ,87 ,67 ,1460 ,66 ,1438 ,0 0 0 3 ,6 2 1 0 ,11 ,6 9 ,16 19 ,27 52 42 ,47 ,33 1 
EI Quisco ,17.742 ,113 ,6369 ,3 ,169 ,11 ,620 ,11 ,620 ,0 0 0 1 ,0 4 2 4 ,0 ,5 9 ,14 15 ,15 18 11 ,7 ,8 0 
EI Tabo ,14.338 ,150 ,10462 ,4 ,279 ,38 ,2650 ,38 ,2650 ,0 0 0 0 ,5 0 2 3 ,3 ,4 7 ,6 16 ,26 17 19 ,16 ,24 2 
Hijuelas& ,19.099 ,96 ,5026 ,3 ,157 ,27 ,1414 ,27 ,1414 ,0 0 0 0 ,0 0 1 0 ,0 ,O 0 ,8 10 ,15 12 14 ,20 ,16 0 
Isla de Pascua ,8.277 ,5 ,604 ,0 ,00 ,0 ,00 ,0 ,00 ,0 0 0 2 ,1 2 0 O ,,0 0 ,0 0 ,0 0 0 ,O ,0 0 
Juan Fernandez ,1.033 ,0 ,00 ,0 ,00 ,0 ,00 ,0 ,00 ,0 0 0 0 ,0 0 0 0 ,0 ,0 0 ,0 0 ,0 0 0 ,0 ,0 0 
La Cruz ,25.321 ,97 ,3831 ,1 ,39 ,22 ,869 ,22 ,869 ,O 1 0 1 ,2 3 1 O ,1 ,8 7 ,4 5 ,12 15 12 ,12 ,13 0 
La Ligua ,37.739 ,199 ,5273 ,4 ,106 ,41 ,1086 ,41 ,1086 ,0 0 0 1 ,1 1 0 1 ,0 ,1 2 ,10 17 ,26 32 52 ,32 ,23 0 
Limache& ,49.931 ,489 ,9794 ,7 ,140 ,110 ,2203 ,109 ,2183 ,0 0 0 3 ,0 5 9 6 ,1 ,7 24 ,31 25 ,37 84 99 ,103 ,53 2 
Llaillay ,26.533 ,201 ,7575 ,5 ,188 ,38 ,1432 ,37 ,1394 ,0 0 0 1 ,1 0 0 0 ,1 ,2 5 ,29 23 ,25 35 24 ,32 ,22 1 
Los Andes ,68.093 ,709 ,10412 ,21 ,308 ,132 ,1939 ,132 ,1939 ,0 0 0 2 ,2 0 3 0 ,2 ,10 21 ,57 84 ,94 140 117 ,108 ,66 3 
Nogales ,23.490 ,77 ,3278 ,0 ,00 ,19 ,809 ,19 ,809 ,0 0 0 0 ,0 0 0 0 ,0 ,2 4 ,6 6 ,6 11 16 ,19 ,7 0 
Olmue ,19.266 ,78 ,4049 ,2 ,104 ,12 ,623 ,12 ,623 ,0 0 0 0 ,0 1 1 0 ,0 ,0 2 ,5 11 ,7 12 20 ,13 ,6 0 
Panquehue ,7.633 ,59 ,7730 ,0 ,00 ,10 ,1310 ,10 ,1310 ,0 0 0 0 ,0 0 0 O ,0 ,0 4 ,5 6 ,4 15 7 ,10 ,8 0 
