Pucon,29782,93,312.3,O,0.0,1,3.4,,1,3.4
Puren ,12188 ,46 ,377.4 ,1 ,8.2 ,1 ,8.2 ,,1 ,8.2 
Renaico ,10833 ,61 ,563.1 ,2 ,18.5 ,O ,0.0 ,,0 ,0.0 
Saavedra ,12793 ,99 ,773.9 ,O ,0.0 ,O ,0.0 ,,O ,0.0 
Temuco ,& 302931 ,1324 ,437.1 ,28 ,9.2 ,44 ,14.5 ,,44 ,14.5 
Teodoro Schmidt ,15786 ,31 ,196.4 ,1 ,6.3 ,O ,0.0 ,,0 ,0.0 
Tolten ,10055 ,18 ,179.0 ,1 ,9.9 ,O ,0.0 ,,O ,0.0 
Traiguen ,19314 ,64 ,331.4 ,O ,0.0 ,4 ,20.7 ,,4 ,20.7 
Victoria ,& 35467 ,223 ,628.8 ,7 ,19.7 ,6 ,16.9 ,,6 ,16.9 
Vilcun ,& 30766 ,183 ,594.8 ,3 ,9.8 ,24 ,78.0 ,,24 ,78.0 
Villarrica ,59103 ,110 ,186.1 ,1 ,1.7 ,3 ,5.1 ,,3 ,5.1 
Desconocido ,& - ,2 ,- ,O ,- ,1 ,- ,,1 ,- 
Total ,1014343 ,4678 ,461.2 ,80 ,7.9 ,288 ,28.4 ,,288 ,28.4 
