Region,Poblacion,Confirmados,Tasaincidencia
Arica y Parinacota ,252.110 ,87 ,"34,5 "
Tarapaca ,382.773 ,35 ,"9,1 "
Antofagasta ,691.854 ,110 ,"15,9 "
Atacama ,314.709 ,13 ,"4,1 "
Coquimbo ,836.096 ,61 ,"7,3 "
Valparaiso ,1.960.170 ,241 ,"12,3 "
Metropolitana ,8.125.072 ,3.193 ,"39,3 "
O'Higgins ,991.063 ,44 ,"4,4 "
Maule ,1.131.939 ,131 ,"11,6 "
Nuble ,511.551 ,589 ,"115,1 "
Biobio ,1.663.696 ,474 ,"28,5 "
Araucania ,1.014.343 ,712 ,"70,2 "
Los Rios ,405.835 ,124 ,"30,6 "
LOs Lagos ,891.440 ,349 ,"39,2 "
Aisen ,107.297 ,7 ,"6,5 "
Magallanes ,178.362 ,331 ,"185,6 "
Total pais ,19.458.310 ,6.501 ,"33,4 "
