Region,Poblacion,Confirmados,Tasaincidencia
Alhue ,7405 ,- ,0.0 
Buin ,109641 ,20 ,18.2 
Calera de Tango ,28525 ,7 ,24.5 
Cerrillos ,88956 ,5 ,5.6 
Cerro Navia ,142465 ,31 ,21.8 
Colina ,180353 ,50 ,27.7 
Conchali ,139195 ,32 ,23.0 
Curacavi ,36430 ,8 ,22.0 
EI Bosque ,172000 ,37 ,21.5 
EI Monte ,40014 ,5 ,12.5 
Estacion Central ,206792 ,36 ,17.4 
Huechuraba ,112528 ,32 ,28.4 
Independencia ,142065 ,26 ,18.3 
Isla de Maipo ,40171 ,4 ,10.0 
La Cisterna ,100434 ,20 ,19.9 
La Florida ,402433 ,91 ,22.6 
La Granja ,122557 ,24 ,19.6 
La Pintana ,189335 ,18 ,9.5 
La Reina ,100252 ,35 ,34.9 
Lampa ,126898 ,14 ,11.0 
Las Condes ,330759 ,258 ,78.0 
Lo Barnechea ,124076 ,97 ,78.2 
Lo Espejo ,103865 ,15 ,14.4 
Lo Prado ,104403 ,25 ,23.9 
Macul ,134635 ,34 ,25.3 
Maipu ,578605 ,83 ,14.3 
Maria Pinto ,14926 ,- ,0.0 
Melipilla ,141612 ,11 ,7.8 
Nunoa ,250192 ,107 ,42.8 
Padre Hurtado ,74188 ,16 ,21.6 
Paine ,82766 ,- ,3.6 
Pedro Aguirre Cerda ,107803 ,16 ,14.8 
Penaflor ,101058 ,18 ,17.8 
Penalolen ,266798 ,65 ,24.4 
