Peralillo,11848,40,337.6,0,0.0,7,59.1,7,59.1,000OOO0O0O0,27712,111,0
Peumo ,14952 ,17 ,113.7 ,1 ,6.7 ,3 ,20.1 ,3 ,20.1 ,0 0 O 0 1 0 O O 0 2 3 ,2 2 2 1 ,2 2 ,0 
Pichidegua ,20743 ,33 ,159.1 ,0 ,0.0 ,9 ,43.4 ,9 ,43.4 ,0 0 0 0 O 0 O O O 1 3 ,8 3 2 5 ,3 8 ,0 
Pichilemu8 ,17882 ,30 ,167.8 ,0 ,0.0 ,7 ,39.1 ,7 ,39.1 ,0 O 0 0 O O 0 O 0 2 2 ,4 7 4 2 ,6 3 ,O 
Placilla ,9164 ,29 ,316.5 ,0 ,0.0 ,2 ,21.8 ,2 ,21.8 ,0 0 0 0 1 0 0 0 0 O 1 ,4 3 6 10 ,3 1 ,0 
Pumanque ,3531 ,4 ,113.3 ,0 ,0.0 ,1 ,28.3 ,1 ,28.3 ,0 0 O O O 0 O O 0 0 0 ,O O 2 0 ,1 1 ,O 
Quinta de Tilcoco ,13877 ,24 ,172.9 ,0 ,0.0 ,13 ,93.7 ,13 ,93.7 ,0 0 O 1 O 0 0 O 0 O O ,1 1 4 2 ,6 9 ,0 
Rancagua& ,265211 ,2477 ,934.0 ,21 ,7.9 ,1075 ,405.3 ,1074 ,405.0 ,1 0 O 8 4 6 3 9 13 27 84 ,176 220 283 418 ,605 620 ,0 
Rengo& ,63710 ,271 ,425.4 ,1 ,1.6 ,119 ,186.8 ,118 ,185.2 ,0 0 0 1 1 0 0 4 5 3 8 ,19 29 26 43 ,64 68 ,0 
Requinoa& ,30371 ,139 ,457.7 ,1 ,3.3 ,61 ,200.8 ,61 ,200.8 ,0 0 O 2 O 0 O O 2 O 5 ,5 13 21 15 ,42 34 ,0 
San Fernando& ,78642 ,136 ,172.9 ,3 ,3.8 ,40 ,50.9 ,40 ,50.9 ,0 0 0 2 1 1 0 2 0 2 8 ,9 23 16 22 ,24 26 ,0 
San Vicente& ,50617 ,164 ,324.0 ,2 ,4.0 ,52 ,102.7 ,52 ,102.7 ,0 0 0 0 3 1 0 0 3 3 16 ,25 16 12 20 ,33 32 ,0 
Santa Cruz ,41096 ,77 ,187.4 ,1 ,2.4 ,26 ,63.3 ,26 ,63.3 ,0 0 0 0 1 0 0 1 1 0 5 ,4 9 7 18 ,19 12 ,0 
Desconocido& ,- ,150 ,- ,0 ,- ,105 ,- ,105 ,- ,0 0 0 0 O 0 1 0 0 1 1 ,2 12 0 22 ,26 84 ,1 
Total ,991063 ,5066 ,511.2 ,48 ,4.8 ,2090 ,210.9 ,2088 ,210.7 ,2 0 1 21 15 10 11 21 47 66 221 ,398 494 545 818 ,1203 1192 ,1 
