Pucon,&29782,88,295.5,0,0.0,7,,23.5,7,23.5
Puren ,12188 ,44 ,361.0 ,1 ,8.2 ,2 ,,16.4 ,2 ,16.4 
Renaico ,10833 ,61 ,563.1 ,1 ,9.2 ,6 ,,55.4 ,6 ,55.4 
Saavedra ,12793 ,99 ,773.9 ,O ,0.0 ,O ,,0.0 ,O ,0.0 
Temuco ,& 302931 ,1223 ,403.7 ,25 ,8.3 ,101 ,,33.3 ,101 ,33.3 
Teodoro Schmidt ,15786 ,31 ,196.4 ,1 ,6.3 ,O ,,0.0 ,O ,0.0 
Tolten ,10055 ,18 ,179.0 ,O ,0.0 ,1 ,,9.9 ,1 ,9.9 
Traiguen ,19314 ,58 ,300.3 ,O ,0.0 ,11 ,,57.0 ,11 ,57.0 
Victoria ,& 35467 ,206 ,580.8 ,7 ,19.7 ,14 ,,39.5 ,14 ,39.5 
Vilcun ,30766 ,149 ,484.3 ,2 ,6.5 ,15 ,,48.8 ,15 ,48.8 
Villarrica ,& 59103 ,106 ,179.3 ,1 ,1.7 ,1 ,,1.7 ,1 ,1.7 
Desconocido ,& - ,2 ,- ,O ,- ,1 ,,- ,1 ,- 
,1014343 ,4217 ,415.7 ,72 ,7.1 ,326 ,,32.1 ,326 ,32.1 
