Romeral8,16170,217,1342.0,,,,,,,,,
Sagrada Familia ,19469 ,76 ,390.4 ,1 ,5.1 ,17 ,87.3 ,16 ,82.2 ,0 0 O ,O 0 1 ,0 
San Clemente& ,46292 ,384 ,829.5 ,,,,,,,,,
San Javier& ,49451 ,290 ,586.4 ,,,,,,,,,
San Rafael ,9959 ,118 ,1184.9 ,0 ,0.0 ,19 ,190.8 ,19 ,190.8 ,0 0 0 ,0 1 0 ,1 
Talca& ,236724 ,1565 ,661.1 ,,,,,,,,,
Teno ,30850 ,158 ,512.2 ,,,,,,,,,
Vichuquen ,4381 ,1 ,22.8 ,0 ,0.0 ,1 ,22.8 ,1 ,22.8 ,0 0 0 ,O 0 0 ,O 
Villa Alegre ,17512 ,85 ,485.4 ,1 ,5.7 ,27 ,154.2 ,27 ,154.2 ,0 0 0 ,O 0 0 ,1 
Yerbas Buenas ,19200 ,99 ,515.6 ,,,,,,,,,
Desconocido& ,- ,45 ,- ,,,,,,,,,
,,,,,,,,,,,,
Total ,1131939 ,7453 ,658.4 ,,,,,,,,,
