IIAntofagasta,
Tarapaca ,
Pais ,
XV Arica y Parinacota ,24.8 
V Valparaiso ,23.9 
VI O'Higgins ,23.1 
Magallanes y la Antart ,21.1 
VII Maule ,17.3 
VIII Del Biobio ,10.7 
XVI De Nuble ,10.5 
IX Araucania ,101 
IV Coquimbo ,93 
III Atacama ,9.1 
X Los Lagos ,9.0 
XIV Los Rios ,5.7 
XI Aysen ,3.5 
Ignorada ,0.0 
