Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Chepica ,& 15925 ,162 ,1017.3 ,4 ,25.1 ,10 ,62.8 ,10 ,62.8 
Chimbarongo ,37696 ,210 ,557.1 ,6 ,15.9 ,15 ,39.8 ,15 ,39.8 
Codegua ,14096 ,232 ,1645.9 ,6 ,42.6 ,13 ,92.2 ,13 ,92.2 
Coinco ,7831 ,134 ,1711.1 ,4 ,51.1 ,16 ,204.3 ,16 ,204.3 
Coltauco ,21263 ,279 ,1312.1 ,9 ,42.3 ,44 ,206.9 ,44 ,206.9 
Donihue ,22700 ,442 ,1947.1 ,8 ,35.2 ,27 ,118.9 ,27 ,118.9 
Graneros ,& 36504 ,525 ,1438.2 ,4 ,11.0 ,55 ,150.7 ,55 ,150.7 
La Estrella ,3114 ,36 ,1156.1 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Las Cabras ,26749 ,274 ,1024.3 ,6 ,22.4 ,49 ,183.2 ,49 ,183.2 
Litueche ,6765 ,94 ,1389.5 ,2 ,29.6 ,10 ,147.8 ,10 ,147.8 
Lolol ,7289 ,59 ,809.4 ,2 ,27.4 ,7 ,96.0 ,7 ,96.0 
Machali ,59913 ,1024 ,1709.1 ,13 ,21.7 ,32 ,53.4 ,32 ,53.4 
Malloa ,& 14163 ,144 ,1016.7 ,5 ,35.3 ,10 ,70.6 ,10 ,70.6 
Marchihue ,7632 ,30 ,393.1 ,0 ,0.0 ,1 ,13.1 ,1 ,13.1 
Mostazal ,& 27462 ,275 ,1001.4 ,5 ,18.2 ,18 ,65.5 ,18 ,65.5 
Nancagua ,& 19141 ,111 ,579.9 ,3 ,15.7 ,16 ,83.6 ,16 ,83.6 
Navidad ,6904 ,76 ,1100.8 ,2 ,29.0 ,0 ,0.0 ,O ,0.0 
Olivar ,& 14624 ,234 ,1600.1 ,4 ,27.4 ,20 ,136.8 ,20 ,136.8 
Palmilla ,13299 ,66 ,496.3 ,4 ,30.1 ,16 ,120.3 ,16 ,120.3 
Paredones ,6349 ,31 ,488.3 ,2 ,31.5 ,5 ,78.8 ,5 ,78.8 
Peralillo ,11848 ,63 ,531.7 ,1 ,8.4 ,3 ,25.3 ,3 ,25.3 
