ZonadeChile,Poblacion,CasosAcumulados,CasosFallecidos,Tasaincidenciaacumulada,Tasamortalidadacumulada,TasaLetalidad
Region de Arica y Parinacota ,252110 ,1011 ,10 ,401.0 ,4.0 ,1.0% 
Region de Tarapaca ,382773 ,3823 ,48 ,998.8 ,12.5 ,1.3% 
Region de Antofagasta ,691854 ,3885 ,65 ,561.5 ,9.4 ,1.7% 
Region de Atacama ,314709 ,413 ,O ,131.2 ,0.0 ,0.0% 
Region de Coquimbo ,836096 ,1438 ,7 ,172.0 ,0.8 ,0.5% 
Region de Valparaiso ,1960170 ,6171 ,118 ,314.8 ,6.0 ,1.9% 
Region Metropolitana de Santiago ,8125072 ,129694 ,2468 ,1596.2 ,30.4 ,1.9% 
Region del Libertador General Bernardo OHiggins ,991063 ,1629 ,30 ,164.4 ,3.0 ,1.8% 
Region de Maule ,1131939 ,2691 ,19 ,237.7 ,1.7 ,0.7% 
Region del Nuble ,511551 ,1718 ,20 ,335.8 ,3.9 ,1.2% 
Region de Biobio ,1663696 ,3103 ,14 ,186.5 ,0.8 ,0.5% 
Region de la Araucania ,1014343 ,2579 ,35 ,254.3 ,3.5 ,1.4% 
Region de LOs Rios ,405835 ,479 ,9 ,118.0 ,2.2 ,1.9% 
Region de LOs Lagos ,891440 ,1083 ,12 ,121.5 ,1.3 ,1.1% 
Region de Aysen de General Carlos lbanez del Campo ,107297 ,22 ,O ,20.5 ,0.0 ,0.0% 
Region de Magallanes y la Antartica Chilena ,178362 ,1107 ,15 ,620.6 ,8.4 ,1.4% 
Total pais ,19458310 ,160846 ,2870 ,826.6 ,14.7 ,1.8% 
