RioClaro,14753,19,128.8,6,40.7,5,33.9,0OO2011,32022,15,O
Romeral ,16170 ,44 ,272.1 ,19 ,117.5 ,19 ,117.5 ,0 O O 1 2 0 O ,10 0 O O 5 ,12 14 ,O 
Sagrada Familia ,19469 ,10 ,51.4 ,5 ,25.7 ,5 ,25.7 ,O O O O O 1 O ,1 O O 1 O ,4 3 ,O 
San Clemente ,46292 ,78 ,168.5 ,28 ,60.5 ,28 ,60.5 ,O O O O O 1 2 ,6 1 8 6 13 ,18 19 ,4 
San Javier ,49451 ,66 ,133.5 ,17 ,34.4 ,17 ,34.4 ,0 O 0 O 2 6 4 ,7 4 3 8 8 ,9 12 ,3 
San Rafael8 ,9959 ,55 ,552.3 ,12 ,120.5 ,12 ,120.5 ,0 O O O 1 0 1 ,1 0 O 5 10 ,28 7 ,2 
Talca8 ,236724 ,392 ,165.6 ,95 ,40.1 ,95 ,40.1 ,O 3 9 13 19 11 16 ,74 16 12 21 50 ,73 62 ,13 
Teno ,30850 ,15 ,48.6 ,3 ,9.7 ,3 ,9.7 ,O O O O O O 1 ,1 1 3 1 3 ,3 2 ,O 
Vichuquen ,4381 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 O O O 0 O ,O O 0 O 0 ,O O ,O 
Villa Alegre ,17512 ,12 ,68.5 ,7 ,40.0 ,7 ,40.0 ,O O 0 O 0 O 1 ,1 O O 1 2 ,1 4 ,2 
Yerbas Buenas ,19200 ,46 ,239.6 ,21 ,109.4 ,20 ,104.2 ,O O O O O O 1 ,O 2 O 4 9 ,13 17 ,O 
Total ,1131939 ,1872 ,165.4 ,737 ,65.1 ,732 ,64.7 ,2 4 12 26 51 47 66 ,160 48 48 111 233 ,477 533 ,54 
