Malloa,&0OOOO,OO,OOO1,3,2,46,11,14,17,10,142O
Marchihue ,O O O O O ,O 0 ,O O O O ,O ,1 ,3 O ,5 ,3 ,1 ,4 ,2 O O 
Mostazal ,& O O O O O ,O 0 ,O O 3 4 ,6 ,15 ,21 28 ,23 ,25 ,40 ,32 ,17 6 O 
Nancagua ,O O O O O ,O 0 ,O O 1 1 ,11 ,5 ,9 7 ,12 ,8 ,7 ,12 ,10 O O 
Navidad ,O O O O O ,O 0 ,O 3 O 6 ,2 ,6 ,1 11 ,12 ,9 ,10 ,9 ,4 1 O 
Olivar ,& O O O O 1 ,2 3 ,1 O O 7 ,4 ,12 ,5 12 ,16 ,29 ,34 ,36 ,16 1 O 
Palmilla ,& O O O O O ,O 0 ,O 1 O O ,2 ,3 ,1 5 ,7 ,4 ,3 ,2 ,7 2 O 
Paredones ,& O O O O O ,O O ,O O O O ,2 ,2 ,1 3 ,3 ,1 ,O ,3 ,O O O 
Peralillo ,O O O O O ,O O ,O O O O ,2 ,7 ,7 12 ,11 ,1 ,5 ,4 ,2 O O 
Peumo ,O 0 0 O 1 ,0 0 ,O O 2 3 ,2 ,2 ,2 1 ,1 ,6 ,5 ,3 ,12 4 O 
Pichidegua ,& O O O O O ,O O ,O O 1 3 ,8 ,3 ,2 6 ,9 ,15 ,25 ,30 ,20 1 O 
Pichilemu ,O O O O O ,O O ,O O 2 2 ,4 ,7 ,4 2 ,6 ,6 ,4 ,O ,12 1 O 
Placilla ,O 0 O O 1 ,0 0 ,O O O 1 ,4 ,3 ,6 10 ,3 ,2 ,7 ,11 ,5 2 O 
Pumanque ,O O O O O ,O 0 ,O O O 0 ,O ,O ,2 0 ,1 ,1 ,O ,O ,O O O 
Quinta de Tilcoco ,O O O 1 O ,O O ,O O O O ,1 ,1 ,4 2 ,10 ,17 ,20 ,14 ,9 4 O 
Rancagua ,& O O 0 9 4 ,7 3 ,9 13 27 88 ,177 ,223 ,280 426 ,657 ,1109 ,929 ,698 ,455 55 O 
Rengo ,& 0 O O 1 3 ,O O ,4 5 3 8 ,19 ,29 ,25 47 ,71 ,123 ,154 ,139 ,171 37 O 
Requinoa ,& 0 O O 2 O ,O O ,O 2 1 5 ,5 ,13 ,20 16 ,41 ,73 ,59 ,55 ,45 7 O 
San Fernando ,& O O O 2 1 ,1 O ,2 O 2 8 ,9 ,23 ,16 22 ,27 ,54 ,58 ,50 ,56 11 O 
San Vicente ,O O O O 3 ,1 O ,O 3 3 16 ,25 ,16 ,12 22 ,37 ,49 ,48 ,47 ,41 5 0 
Santa Cruz ,& O O O O 1 ,O O ,1 1 O 5 ,4 ,9 ,7 18 ,21 ,15 ,19 ,22 ,23 3 O 
Desconocido ,& 0 O O O O ,O 2 ,O O O 1 ,2 ,12 ,O 8 ,4 ,22 ,12 ,6 ,23 4 O 
