Peralillo,11848,47,396.7,1,8.4,7,59.1,7,59.1,000OOOO0OOO2,7712,11,15,2
Peumo ,14952 ,25 ,167.2 ,3 ,20.1 ,5 ,33.4 ,5 ,33.4 ,0 0 0 O 1 0 0 O 0 2 3 2 ,2 2 1 ,1 ,6 4 ,1 
Pichidegua ,20743 ,79 ,380.9 ,3 ,14.5 ,34 ,163.9 ,34 ,163.9 ,0 0 0 O 0 O O O 0 1 3 8 ,3 2 5 ,9 ,14 23 ,11 
Pichilemu ,17882 ,36 ,201.3 ,0 ,0.0 ,3 ,16.8 ,3 ,16.8 ,0 O 0 O O O O O O 2 2 4 ,7 4 2 ,6 ,6 3 ,O 
Placilla ,9164 ,40 ,436.5 ,0 ,0.0 ,10 ,109.1 ,10 ,109.1 ,0 0 0 0 1 0 O 0 O 0 1 4 ,3 6 10 ,3 ,2 7 ,3 
Pumanque ,3531 ,4 ,113.3 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O 0 0 O O O 0 0 O O 0 0 ,0 2 0 ,1 ,1 ,0 O 
Quinta de Tilcoco ,13877 ,59 ,425.2 ,1 ,7.2 ,21 ,151.3 ,21 ,151.3 ,0 O O 1 O O O 0 O O O 1 ,1 4 2 ,10 ,19 ,18 3 
Rancagua& ,265211 ,4160 ,1568.6 ,42 ,15.8 ,1162 ,438.1 ,1159 ,437.0 ,0 0 O 9 4 7 3 8 13 27 88 176 ,222 282 425 ,655 ,1079 869 ,293 
Rengo& ,63710 ,519 ,814.6 ,2 ,3.1 ,184 ,288.8 ,184 ,288.8 ,0 0 0 1 2 0 0 4 5 3 8 19 ,30 25 43 ,74 ,121 ,138 46 
Requinoa& ,30371 ,259 ,852.8 ,3 ,9.9 ,82 ,270.0 ,81 ,266.7 ,0 0 O 2 0 O 0 0 2 1 5 5 ,13 20 16 ,42 ,71 60 ,22 
San Fernando& ,78642 ,244 ,310.3 ,5 ,6.4 ,75 ,95.4 ,75 ,95.4 ,0 0 0 2 1 1 0 2 0 2 8 9 ,23 16 22 ,27 ,56 56 ,19 
San Vicente& ,50617 ,249 ,491.9 ,6 ,11.9 ,62 ,122.5 ,62 ,122.5 ,0 0 0 0 3 1 0 0 3 3 16 25 ,16 12 22 ,37 ,49 46 ,16 
Santa Cruz ,41096 ,107 ,260.4 ,2 ,4.9 ,26 ,63.3 ,26 ,63.3 ,0 0 0 0 1 0 0 1 1 0 5 4 ,9 7 18 ,21 ,14 20 ,6 
Desconocido& ,- ,129 ,- ,0 ,- ,54 ,- ,54 ,- ,0 0 0 0 0 O 2 0 0 0 0 3 ,12 0 5 ,7 ,46 32 ,22 
Total ,991063 ,8514 ,,107 ,,2462 ,,2457 ,,1 1 22 16 11 20 48 67 223 399 ,496 548 825 ,1289 ,2073 ,1839 623 
