Altodel,Carmen,,,Caldera,,,,Chanaral,,,
125 100 ,,,,15 ,,,,6 ,,,
,,,,,,,,4 ,,,
75 ,,,,10 ,,,,,,,
50 ,,,,,,,,,,,
25 ,,,,5 ,,,,2 ,,,
00 ,,II I I I ,I I ,I 0 ,II ,I I I ,,0 ,,,
mar ,abr may ,jun jul ,ago ,sept ,mar abr ,may jun ,jul ago ,sept mar ,abr may ,jun jul ,ago sept 
Copiapo ,,,,Diego ,de Almagro ,,,Freirina ,,,
125 ,,,,,,,,8 ,,,
100 ,,,,9 ,,,,,,,
75 ,,,,,,,,6 ,,,
,,,,6 ,,,,,,,
50 ,,,,,,,,4 ,,,
,,,,,,,,,,,
25 ,,,,3 ,,,,2 ,,,
0 m ,- ,,,0 I ,I I ,,II ,0 ,,,
mar ,abr may ,jun jul ,ago ,sept mar ,abr may ,jun ,jul ago ,sept mar ,abr may ,jun jul ,ago sept 
Huasco ,,,,Tierra 125 ,Amarilla ,,,Vallenar 30 ,,,
,,,,,,,,,,,
75 ,,,,100 ,,,,20 ,,,
50 ,,,,75 ,,,,,,,
,,,,50 ,,,,,,,
25 ,,,II ,25 ,,,,10 ,,,
00 ,,,,00 ,iiil ,,,0 ,I ,II ,
