ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada,NumerodeCasosActivos,TasadeCasosActivos
Region de Arica y Parinacota ,252110 ,2760 ,1094.8 ,681 ,270.1 
Region de Tarapaca ,382773 ,7341 ,1917.8 ,786 ,205.3 
Region de Antofagasta ,691854 ,12601 ,1821.3 ,2023 ,292.4 
Region de Atacama ,314709 ,1680 ,533.8 ,472 ,150.0 
Region de Coquimbo ,836096 ,4774 ,571.0 ,923 ,110.4 
Region de Valparaiso ,1960170 ,19461 ,992.8 ,2878 ,146.8 
Region Metropolitana de Santiago ,8125072 ,267963 ,3298.0 ,15907 ,195.8 
Region del Libertador General Bernardo OHiggins ,991063 ,10335 ,1042.8 ,2096 ,211.5 
Region del Maule ,1131939 ,7823 ,691.1 ,1282 ,113.3 
Region del Nuble ,511551 ,3687 ,720.7 ,682 ,133.3 
Region del Biobio ,1663696 ,9621 ,578.3 ,1652 ,99.3 
Region de la Araucania ,1014343 ,3622 ,357.1 ,239 ,23.6 
Region de LOs Rios ,405835 ,795 ,195.9 ,66 ,16.3 
Region de Los Lagos ,891440 ,2516 ,282.2 ,571 ,64.1 
Region de Aysen del General Carlos ibanez del Campo ,107297 ,56 ,52.2 ,12 ,11.2 
Region de Magallanes y la Antartica Chilena ,178362 ,1587 ,889.8 ,100 ,56.1 
Desconocido ,- ,73 ,- ,0 ,- 
Total pais ,19458310 ,356695 ,1833.1 ,30370 ,156.1 
