Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alhue ,,7405 ,151 ,2039.2 ,3 ,40.5 ,41 ,553.7 ,41 ,553.7 
Buin ,& ,109641 ,2148 ,1959.1 ,68 ,62.0 ,194 ,176.9 ,193 ,176.0 
Calera de Tango ,& ,28525 ,530 ,1858.0 ,6 ,21.0 ,45 ,157.8 ,45 ,157.8 
Cerrillos ,& ,88956 ,2813 ,3162.2 ,66 ,74.2 ,147 ,165.3 ,147 ,165.3 
Cerro Navia ,& ,142465 ,5998 ,4210.2 ,217 ,152.3 ,255 ,179.0 ,255 ,179.0 
Colina ,& ,180353 ,4368 ,2421.9 ,94 ,52.1 ,195 ,108.1 ,195 ,108.1 
Conchali ,& ,139195 ,5808 ,4172.6 ,194 ,139.4 ,254 ,182.5 ,253 ,181.8 
Curacavi ,& ,36430 ,816 ,2239.9 ,14 ,38.4 ,65 ,178.4 ,65 ,178.4 
EI Bosque ,& ,172000 ,5981 ,3477.3 ,184 ,107.0 ,353 ,205.2 ,351 ,204.1 
EI Monte ,& ,40014 ,1079 ,2696.6 ,36 ,90.0 ,88 ,219.9 ,87 ,217.4 
Estacion Central ,& ,206792 ,5876 ,2841.5 ,125 ,60.4 ,277 ,134.0 ,277 ,134.0 
Huechuraba ,& ,112528 ,3527 ,3134.3 ,127 ,112.9 ,133 ,118.2 ,131 ,116.4 
Independencia ,& ,142065 ,6123 ,4310.0 ,209 ,147.1 ,224 ,157.7 ,223 ,157.0 
Isla de Maipo ,& ,40171 ,742 ,1847.1 ,17 ,42.3 ,109 ,271.3 ,109 ,271.3 
La Cisterna ,& ,100434 ,2991 ,2978.1 ,101 ,100.6 ,139 ,138.4 ,139 ,138.4 
La Florida ,& ,402433 ,12835 ,3189.4 ,407 ,101.1 ,555 ,137.9 ,553 ,137.4 
La Granja ,& ,122557 ,6670 ,5442.4 ,176 ,143.6 ,261 ,213.0 ,261 ,213.0 
La Pintana ,& ,189335 ,9132 ,4823.2 ,277 ,146.3 ,346 ,182.7 ,344 ,181.7 
La Reina ,& ,100252 ,2080 ,2074.8 ,75 ,74.8 ,107 ,106.7 ,106 ,105.7 
Lampa ,& ,126898 ,3247 ,2558.7 ,49 ,38.6 ,193 ,152.1 ,193 ,152.1 
Las Condes ,& ,330759 ,5434 ,1642.9 ,256 ,77.4 ,221 ,66.8 ,220 ,66.5 
Lo Barnechea ,& ,124076 ,2944 ,2372.7 ,62 ,50.0 ,79 ,63.7 ,79 ,63.7 
Lo Espejo ,& ,103865 ,3934 ,3787.6 ,167 ,160.8 ,213 ,205.1 ,209 ,201.2 
Lo Prado ,& ,104403 ,4494 ,4304.5 ,124 ,118.8 ,281 ,269.1 ,281 ,269.1 
