ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada
Region de Arica y Parinacota ,252110 ,353 ,140.0 
Region de Tarapaca ,382773 ,547 ,142.9 
Region de Antofagasta ,691854 ,1001 ,144.7 
Region de Atacama ,314709 ,135 ,42.9 
Region de Coquimbo ,836096 ,149 ,17.8 
Region de Valparaiso ,1960170 ,998 ,50.9 
Region Metropolitana de Santiago ,8125072 ,21264 ,261.7 
Region del Libertador General Bernardo OHiggins ,991063 ,215 ,21.7 
Region del Maule ,1131939 ,468 ,41.3 
Region del Nuble ,511551 ,824 ,161.1 
Region del Biobio ,1663696 ,930 ,55.9 
Region de la Araucania ,1014343 ,1462 ,144.1 
Region de Los Rios ,405835 ,207 ,51.0 
Region de Los Lagos ,891440 ,569 ,63.8 
Region de Aysen del General Carlos Ibanez del Campo ,107297 ,5 ,4.7 
Region de Magallanes y la Antartica Chilena ,178362 ,898 ,504.0 
Desconocido ,- ,25 ,- 
Total pais ,19458310 ,30050 ,154.4 
