,,,,,,,,,NumerodeCasos,segunFechadeIniciodeSintomas.NotificacionoToma,deMuestra,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 ,SE SE 20 21 ,SE SE 22 23 ,SE SE 24 25 ,SE 26 ,SE SE 27 28 
Chepica ,15925 ,98 ,615.4 ,1 ,6.3 ,23 ,144.4 ,23 ,144.4 ,1 0 0 0 0 0 0 0 0 0 1 ,7 0 ,4 6 ,22 18 ,21 ,14 4 
Chimbarongo ,37696 ,129 ,342.2 ,3 ,8.0 ,27 ,71.6 ,27 ,71.6 ,O O 0 2 1 0 0 0 1 1 5 ,13 8 ,7 12 ,17 16 ,28 ,17 1 
Codegua& ,14096 ,126 ,893.9 ,3 ,21.3 ,25 ,177.4 ,25 ,177.4 ,O O 0 1 0 O O O 0 0 1 ,3 7 ,11 13 ,17 21 ,30 ,17 5 
Coinco& ,7831 ,82 ,1047.1 ,3 ,38.3 ,20 ,255.4 ,20 ,255.4 ,0 0 0 0 0 0 0 0 1 0 4 ,10 8 ,3 5 ,7 19 ,9 ,12 4 
Coltauco ,21263 ,119 ,559.7 ,3 ,14.1 ,26 ,122.3 ,26 ,122.3 ,0 0 0 0 0 0 0 0 O 0 15 ,9 13 ,4 4 ,9 21 ,23 ,16 5 
Donihue& ,22700 ,295 ,1299.6 ,5 ,22.0 ,76 ,334.8 ,75 ,330.4 ,0 O 0 O 0 0 O 1 1 5 12 ,16 14 ,10 20 ,32 67 ,58 ,53 6 
Graneros& ,36504 ,363 ,994.4 ,3 ,8.2 ,79 ,216.4 ,79 ,216.4 ,0 0 0 0 0 0 0 0 3 7 13 ,22 24 ,22 31 ,48 65 ,65 ,47 16 
La Estrella ,3114 ,31 ,995.5 ,0 ,0.0 ,8 ,256.9 ,8 ,256.9 ,0 0 0 0 0 0 0 0 0 0 0 ,0 0 ,1 4 ,6 2 ,12 ,6 0 
Las Cabras ,26749 ,137 ,512.2 ,2 ,7.5 ,33 ,123.4 ,33 ,123.4 ,0 0 0 O 0 0 1 2 4 3 2 ,4 3 ,5 9 ,16 25 ,40 ,16 7 
Litueche ,6765 ,73 ,1079.1 ,1 ,14.8 ,14 ,206.9 ,14 ,206.9 ,0 O 0 O 0 0 0 1 5 2 2 ,3 O ,1 6 ,15 21 ,6 ,8 3 
Lolo ,7289 ,45 ,617.4 ,1 ,13.7 ,2 ,27.4 ,2 ,27.4 ,0 0 0 O 0 0 0 0 O 0 1 ,2 1 ,10 5 ,7 5 ,13 ,1 0 
Machali& ,59913 ,802 ,1338.6 ,8 ,13.4 ,164 ,273.7 ,164 ,273.7 ,0 0 1 4 1 0 4 0 5 4 9 ,18 25 ,36 56 ,105 221 ,188 ,107 18 
Malloa& ,14163 ,61 ,430.7 ,2 ,14.1 ,9 ,63.5 ,9 ,63.5 ,0 O 0 O 0 O 0 O O 0 1 ,3 1 ,4 6 ,11 12 ,14 ,8 1 
Marchihue ,7632 ,16 ,209.6 ,0 ,0.0 ,4 ,52.4 ,4 ,52.4 ,0 O 0 O 0 0 0 0 0 O 0 ,0 1 ,3 0 ,5 3 ,1 ,3 0 
Mostazal ,27462 ,193 ,702.8 ,3 ,10.9 ,41 ,149.3 ,41 ,149.3 ,0 0 0 O 0 0 0 0 O 3 4 ,6 15 ,21 28 ,23 25 ,38 ,25 5 
Nancagua ,19141 ,74 ,386.6 ,2 ,10.4 ,16 ,83.6 ,16 ,83.6 ,0 0 0 O 0 O 0 0 O 1 1 ,11 5 ,9 7 ,12 8 ,6 ,11 3 
Navidad& ,6904 ,72 ,1042.9 ,1 ,14.5 ,13 ,188.3 ,13 ,188.3 ,0 O 0 0 0 0 O 0 3 0 6 ,2 6 ,1 11 ,12 9 ,10 ,11 1 
Olivar& ,14624 ,168 ,1148.8 ,3 ,20.5 ,51 ,348.7 ,51 ,348.7 ,0 0 0 0 1 2 3 1 0 0 7 ,4 12 ,5 12 ,16 28 ,35 ,36 6 
Palmilla ,13299 ,32 ,240.6 ,2 ,15.0 ,5 ,37.6 ,5 ,37.6 ,0 0 0 0 0 0 O 0 1 0 O ,2 3 ,1 5 ,7 5 ,3 ,2 3 
Paredones ,6349 ,14 ,220.5 ,0 ,0.0 ,3 ,47.3 ,3 ,47.3 ,0 O 0 0 O 0 0 0 0 0 0 ,2 2 ,1 3 ,2 1 ,0 ,3 0 
