MariaPinto,&000O,0,01,0,2,2,18,25,38,37,43,25,28,47,32,2923,12,910,14,14,3O
Melipilla ,& O 1 1 6 ,5 ,4 9 ,24 ,37 ,85 ,106 ,212 ,354 ,480 ,479 ,421 ,450 ,360 ,296 ,219 ,135 75 ,68 66 ,89 ,52 ,12 O 
Nunoa ,& 1 1 28 54 ,44 ,48 48 ,71 ,73 ,154 ,372 ,543 ,760 ,663 ,655 ,555 ,383 ,314 ,208 ,186 86 ,92 ,107 93 ,88 ,62 ,11 0 
Padre Hurtado ,& 0 1 0 5 ,10 ,6 13 ,9 ,16 ,62 ,99 ,172 ,253 ,232 ,283 ,236 ,189 ,177 ,122 ,107 49 ,69 ,39 34 ,30 ,30 ,3 O 
Paine ,0 1 0 3 ,0 ,4 7 ,3 ,5 ,29 ,83 ,86 ,133 ,153 ,274 ,237 ,210 ,195 ,183 ,109 65 ,50 ,31 67 ,46 ,41 ,8 O 
Pedro Aguirre Cerda ,& O O 3 7 ,15 ,26 47 ,32 ,75 ,178 ,365 ,429 ,403 ,511 ,579 ,433 ,343 ,241 ,222 ,145 ,106 90 ,81 64 ,47 ,37 ,6 O 
Penaflor ,& 1 1 5 3 ,9 ,6 9 ,16 ,27 ,60 ,109 ,213 ,309 ,317 ,340 ,322 ,321 ,212 ,158 ,215 79 ,67 ,60 55 ,68 ,64 ,14 0 
Penalolen ,& 1 3 9 30 ,37 ,40 52 ,71 ,122 ,411 ,990 ,1341 ,1657 ,1598 ,1438 ,1110 ,847 ,579 ,451 ,326 ,204 202 ,173 132 ,117 ,129 ,33 0 
Pirque ,0 1 3 1 ,3 ,1 5 ,5 ,16 ,39 ,60 ,82 ,160 ,153 ,116 ,115 ,83 ,76 ,75 ,37 20 ,17 ,25 24 ,18 ,11 ,4 0 
Providencia ,& O 3 29 63 ,23 ,25 35 ,41 ,41 ,97 ,284 ,328 ,405 ,431 ,296 ,241 ,208 ,181 ,157 ,118 68 ,61 ,66 68 ,44 ,41 ,9 O 
Pudahuel ,& 1 1 2 19 ,29 ,37 43 ,48 ,144 ,366 ,679 ,1036 ,1301 ,1275 ,1322 ,870 ,750 ,511 ,370 ,328 ,262 192 ,171 144 ,154 ,149 ,14 0 
Puente Alto ,& 2 4 11 65 ,107 ,185 209 ,334 ,385 ,861 ,1589 ,2236 ,2597 ,2611 ,2842 ,2393 ,1898 ,1447 ,1045 ,724 ,540 363 ,456 411 ,482 ,310 ,55 O 
Quilicura ,& 0 3 3 21 ,30 ,46 46 ,143 ,334 ,553 ,828 ,970 ,901 ,1050 ,1106 ,899 ,665 ,412 ,331 ,239 ,171 160 ,139 132 ,112 ,126 ,37 O 
Quinta Norma ,& 1 2 6 14 ,27 ,40 50 ,53 ,99 ,268 ,468 ,593 ,715 ,777 ,675 ,548 ,426 ,330 ,255 ,244 ,108 128 ,158 134 ,107 ,86 ,22 O 
Recoleta ,& O O 7 14 ,17 ,41 46 ,117 ,285 ,745 ,1191 ,1148 ,1000 ,878 ,787 ,589 ,510 ,308 ,252 ,179 ,100 123 ,94 116 ,88 ,92 ,18 O 
Renca ,& O O 5 7 ,11 ,8 37 ,68 ,111 ,300 ,631 ,748 ,854 ,798 ,870 ,809 ,896 ,614 ,492 ,415 ,305 287 ,245 261 ,201 ,92 ,8 O 
San Bernardo ,& O 1 6 24 ,41 ,68 79 ,124 ,156 ,346 ,665 ,900 ,1078 ,1304 ,1423 ,1259 ,1078 ,835 ,588 ,418 ,255 235 ,208 196 ,156 ,145 ,37 O 
San Joaquin ,& O O 1 18 ,23 ,15 34 ,44 ,84 ,229 ,505 ,654 ,487 ,502 ,569 ,475 ,349 ,270 ,202 ,191 ,155 86 ,90 72 ,59 ,56 ,10 O 
San Jose de Maipo ,O 0 1 1 ,2 ,2 3 ,1 ,4 ,22 ,52 ,57 ,92 ,67 ,78 ,63 ,43 ,43 ,27 ,32 15 ,38 ,31 8 ,6 ,4 ,0 0 
San Miguel ,& 1 1 3 27 ,24 ,28 47 ,49 ,80 ,210 ,455 ,521 ,633 ,587 ,645 ,467 ,436 ,259 ,215 ,168 ,123 66 ,122 93 ,80 ,110 ,15 O 
San Pedro ,O 0 0 O ,0 ,0 O ,2 ,10 ,7 ,9 ,16 ,16 ,21 ,27 ,11 ,33 ,29 ,18 ,12 6 ,2 ,8 8 ,13 ,2 ,0 0 
San Ramon ,& O O 1 3 ,11 ,11 13 ,42 ,90 ,249 ,455 ,559 ,533 ,463 ,552 ,415 ,301 ,198 ,185 ,163 ,102 75 ,59 52 ,47 ,36 ,6 O 
Santiago ,& 1 3 31 100 ,107 ,151 168 ,177 ,394 ,954 ,1725 ,1726 ,1870 ,1632 ,1475 ,1199 ,987 ,633 ,508 ,427 ,239 190 ,156 164 ,126 ,124 ,44 O 
Talagante ,& O O O 4 ,8 ,7 3 ,10 ,10 ,44 ,60 ,99 ,121 ,153 ,186 ,223 ,213 ,188 ,141 ,86 53 ,66 ,27 32 ,44 ,21 ,3 O 
Tiltil ,& 0 0 O 2 ,1 ,2 1 ,6 ,5 ,11 ,34 ,41 ,57 ,59 ,92 ,63 ,50 ,44 ,38 ,15 15 ,14 ,12 13 ,12 ,16 ,0 0 
Vitacura ,& 0 6 32 50 ,29 ,14 7 ,5 ,13 ,55 ,162 ,217 ,188 ,152 ,140 ,104 ,96 ,81 ,52 ,32 30 ,25 ,38 24 ,28 ,23 ,6 O 
Desconocido ,& 0 0 6 10 ,19 ,54 177 ,364 ,557 ,685 ,1364 ,2132 ,2395 ,1644 ,1281 ,1293 ,1353 ,795 ,426 ,268 ,156 92 ,104 53 ,38 ,73 ,71 0 
Total ,15 70 354 1045 ,1152 ,1484 1930 ,2915 ,5346 ,12518 ,23572 ,30575 ,34153 ,33565 ,33756 ,27603 ,23024 ,16593 ,12551 ,9635 ,6486 5395 ,5125 4767 ,4168 ,3625 ,842 0 
