Olmue&,19266,36,186.9,2,10.4,7,36.3,7,36.3,O00O,011,00,O35,11,6,9O0
Panquehue ,7633 ,22 ,288.2 ,0 ,0.0 ,6 ,78.6 ,6 ,78.6 ,0 0 0 O ,0 0 0 ,0 0 ,O 3 5 ,5 ,3 ,6 O 0 
Papudo ,6201 ,22 ,354.8 ,0 ,0.0 ,5 ,80.6 ,5 ,80.6 ,O 0 0 O ,0 0 0 ,0 0 ,O O 6 ,2 ,8 ,5 1 0 
Petorca8 ,10558 ,25 ,236.8 ,0 ,0.0 ,3 ,28.4 ,3 ,28.4 ,O O 0 1 ,4 1 O ,0 0 ,O 1 4 ,4 ,7 ,2 1 0 
Puchuncavi& ,20071 ,49 ,244.1 ,1 ,5.0 ,25 ,124.6 ,25 ,124.6 ,0 0 0 0 ,0 0 0 ,0 0 ,0 4 7 ,5 ,7 ,19 7 0 
Putaendo ,17645 ,72 ,408.0 ,0 ,0.0 ,27 ,153.0 ,27 ,153.0 ,O 0 0 1 ,0 0 1 ,3 2 ,2 6 7 ,6 ,13 ,24 7 0 
Quillota& ,97572 ,280 ,287.0 ,6 ,6.1 ,122 ,125.0 ,121 ,124.0 ,0 1 0 4 ,7 3 7 ,1 5 ,3 17 17 ,36 ,51 ,105 23 0 
Quilpue& ,167085 ,410 ,245.4 ,3 ,1.8 ,71 ,42.5 ,71 ,42.5 ,O 1 3 3 ,9 6 4 ,5 12 ,18 45 73 ,73 ,72 ,71 15 0 
Quintero8 ,36135 ,168 ,464.9 ,4 ,11.1 ,36 ,99.6 ,36 ,99.6 ,1 O 0 3 ,1 1 0 ,6 2 ,3 22 24 ,27 ,37 ,36 5 0 
Rinconada ,11263 ,76 ,674.8 ,0 ,0.0 ,21 ,186.5 ,21 ,186.5 ,0 0 0 O ,0 3 0 ,0 0 ,O 2 13 ,17 ,16 ,15 10 0 
San Antonio& ,96761 ,633 ,654.2 ,16 ,16.5 ,85 ,87.8 ,83 ,85.8 ,O O 0 0 ,5 14 11 ,22 38 ,66 60 96 ,91 ,126 ,93 11 0 
San Esteban& ,20643 ,61 ,295.5 ,0 ,0.0 ,20 ,96.9 ,20 ,96.9 ,0 0 0 0 ,0 0 0 ,1 2 ,2 7 3 ,10 ,14 ,19 3 0 
San Felipe& ,83494 ,403 ,482.7 ,7 ,8.4 ,140 ,167.7 ,138 ,165.3 ,0 O 0 3 ,2 2 0 ,0 2 ,6 16 58 ,64 ,95 ,120 35 0 
Santa Maria& ,16367 ,62 ,378.8 ,0 ,0.0 ,15 ,91.6 ,15 ,91.6 ,O 0 0 O ,2 0 0 ,0 4 ,14 2 5 ,8 ,12 ,13 2 0 
Santo Domingo ,11934 ,78 ,653.6 ,0 ,0.0 ,22 ,184.3 ,22 ,184.3 ,0 0 2 2 ,0 6 4 ,4 4 ,5 4 10 ,6 ,8 ,21 2 0 
Valparaiso& ,315732 ,1322 ,418.7 ,20 ,6.3 ,380 ,120.4 ,380 ,120.4 ,O 2 2 9 ,17 13 18 ,14 26 ,81 112 137 ,211 ,265 ,316 99 0 
Villa Alemana& ,139310 ,370 ,265.6 ,5 ,3.6 ,74 ,53.1 ,73 ,52.4 ,0 0 1 7 ,3 3 0 ,1 5 ,29 39 48 ,58 ,89 ,73 14 0 
Vina del Mar& ,361371 ,1314 ,363.6 ,26 ,7.2 ,294 ,81.4 ,290 ,80.2 ,O 1 6 21 ,27 21 11 ,19 24 ,77 132 189 ,217 ,236 ,259 74 0 
Zapallar ,7994 ,3 ,37.5 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 0 0 O ,0 0 0 ,0 0 ,0 0 3 ,0 ,0 ,0 O 0 
,,,,,,,,,,,,,,,,
Total ,,,,,,,,,,,,,,,,
