,SESESESE,SESE,SESE,SESESE,SE,SE,SE,SE,SESE,SE,SE,SE,SE,SESE
Comuna ,9 10 11 12 ,13 14 ,15 16 ,17 18 19 ,20 ,21 ,22 ,23 ,24 25 ,26 ,27 ,28 ,29 ,30 31 
Andacollo ,O O O O ,O O ,O O ,O 2 7 ,3 ,3 ,7 ,6 ,O 5 ,7 ,4 ,3 ,3 ,1 O 
Canela ,& O O O O ,O O ,O O ,O 1 O ,2 ,O ,2 ,2 ,O 1 ,6 ,5 ,O ,2 ,0 O 
Combarbala ,O O O O ,O O ,O O ,O 2 3 ,4 ,3 ,5 ,3 ,2 7 ,O ,1 ,2 ,O ,O O 
Coquimbo ,& O O 4 13 ,3 1 ,1 6 ,7 21 85 ,86 ,71 ,151 ,144 ,156 180 ,238 ,236 ,332 ,261 ,21 O 
Illapel ,& 0 0 O O ,4 7 ,7 0 ,O 1 O ,1 ,5 ,21 ,14 ,18 20 ,39 ,40 ,62 ,4 ,2 O 
La Higuera ,O O O O ,O O ,O O ,O O O ,O ,O ,1 ,2 ,O O ,O ,6 ,7 ,16 ,2 O 
La Serena ,& O 1 O 3 ,6 4 ,3 3 ,5 17 51 ,50 ,76 ,114 ,115 ,134 197 ,185 ,226 ,261 ,233 ,25 O 
Los Vilos ,& O O O 1 ,O O ,O 0 ,O O 1 ,O ,3 ,5 ,6 ,7 12 ,26 ,11 ,12 ,3 ,0 O 
Monte Patria ,& O O O O ,O O ,O O ,O 1 6 ,19 ,25 ,27 ,24 ,46 22 ,30 ,24 ,14 ,13 ,1 O 
Ovalle ,& O O 3 2 ,4 2 ,O 5 ,1 15 32 ,48 ,58 ,114 ,171 ,180 152 ,136 ,90 ,81 ,42 ,11 O 
Paiguano ,O O O O ,O O ,O 0 ,O O O ,O ,2 ,2 ,1 ,2 O ,O ,O ,2 ,O ,O O 
Punitaqui ,O 0 O O ,O O ,O 1 ,1 3 6 ,O ,4 ,16 ,2 ,7 5 ,7 ,4 ,12 ,13 ,O O 
Rio Hurtado ,O O O 1 ,O O ,O O ,O 1 O ,1 ,2 ,5 ,6 ,1 O ,O ,5 ,1 ,2 ,O O 
Salamanca ,& O 1 O 1 ,2 1 ,2 1 ,O 3 2 ,2 ,5 ,15 ,14 ,3 6 ,4 ,7 ,11 ,5 ,1 O 
Vicuna ,O O O O ,O O ,1 0 ,1 3 5 ,3 ,5 ,4 ,7 ,2 1 ,8 ,11 ,33 ,31 ,1 O 
Desconocido ,& 0 O 0 1 ,O 3 ,1 1 ,1 2 1 ,3 ,10 ,8 ,9 ,18 13 ,22 ,10 ,18 ,19 ,12 O 
,,,,,,,,,,,,,,
