Hijuelas,23,21,913,60,58,967
Isla de Pascua ,0 ,0 ,- ,0 ,0 ,- 
Juan Fernandez ,0 ,0 ,- ,0 ,0 ,- 
La Cruz ,14 ,14 ,1000 ,62 ,59 ,952 
La Ligua ,38 ,36 ,947 ,34 ,34 ,1000 
Limache ,46 ,36 ,783 ,53 ,53 ,1000 
Llaillay ,18 ,17 ,944 ,54 ,54 ,1000 
Los Andes ,30 ,27 ,900 ,46 ,46 ,1000 
Nogales ,30 ,26 ,867 ,0 ,0 ,- 
Olmue ,11 ,11 ,1000 ,0 ,0 ,- 
Panquehue ,0 ,O ,,12 ,12 ,1000 
Papudo ,9 ,9 ,1000 ,36 ,36 ,1000 
Petorca ,22 ,19 ,864 ,46 ,43 ,935 
Puchuncavi ,3 ,2 ,667 ,30 ,29 ,967 
Putaendo ,7 ,4 ,571 ,41 ,41 ,1000 
Quillota ,92 ,83 ,902 ,112 ,112 ,1000 
Quilpue ,66 ,52 ,788 ,155 ,72 ,465 
Quintero ,10 ,8 ,800 ,16 ,13 ,813 
Rinconada ,2 ,2 ,1000 ,2 ,2 ,1000 
San Antonio ,44 ,39 ,886 ,45 ,36 ,800 
San Esteban ,11 ,11 ,1000 ,24 ,24 ,1000 
San Felipe ,79 ,57 ,722 ,38 ,38 ,1000 
Santa Maria ,17 ,17 ,1000 ,27 ,27 ,1000 
Santo Domingo ,1 ,1 ,1000 ,0 ,0 ,- 
Valparaiso ,236 ,201 ,852 ,187 ,119 ,636 
Villa Alemana ,66 ,56 ,848 ,118 ,100 ,847 
Vina del Mar ,181 ,139 ,768 ,349 ,334 ,957 
Zapallar ,4 ,4 ,1000 ,15 ,15 ,1000 
,,,,,,
