Panquehue,7633,120,1572.1,0,0.0,3,39.3,3,39.3
Papudo ,6201 ,107 ,1725.5 ,3 ,48.4 ,6 ,96.8 ,6 ,96.8 
Petorca ,10558 ,125 ,1183.9 ,1 ,9.5 ,14 ,132.6 ,14 ,132.6 
Puchuncavi ,20071 ,191 ,951.6 ,4 ,19.9 ,16 ,79.7 ,16 ,79.7 
Putaendo ,17645 ,244 ,1382.8 ,6 ,34.0 ,12 ,68.0 ,12 ,68.0 
Quillota & ,97572 ,1884 ,1930.9 ,40 ,41.0 ,151 ,154.8 ,150 ,153.7 
Quilpue & ,167085 ,1915 ,1146.1 ,44 ,26.3 ,177 ,105.9 ,176 ,105.3 
Quintero & ,36135 ,458 ,1267.5 ,12 ,33.2 ,12 ,33.2 ,12 ,33.2 
Rinconada ,11263 ,173 ,1536.0 ,4 ,35.5 ,0 ,0.0 ,O ,0.0 
San Antonio & ,96761 ,1434 ,1482.0 ,40 ,41.3 ,98 ,101.3 ,97 ,100.2 
San Esteban ,20643 ,242 ,1172.3 ,5 ,24.2 ,15 ,72.7 ,15 ,72.7 
San Felipe & ,83494 ,1294 ,1549.8 ,30 ,35.9 ,109 ,130.5 ,109 ,130.5 
Santa Maria & ,16367 ,262 ,1600.8 ,4 ,24.4 ,12 ,73.3 ,12 ,73.3 
Santo & Domingo ,11934 ,150 ,1256.9 ,2 ,16.8 ,2 ,16.8 ,2 ,16.8 
Valparaiso & ,315732 ,4967 ,1573.2 ,105 ,33.3 ,399 ,126.4 ,398 ,126.1 
Villa Alemana & ,139310 ,1834 ,1316.5 ,23 ,16.5 ,157 ,112.7 ,157 ,112.7 
Vina del Mar & ,361371 ,4658 ,1289.0 ,122 ,33.8 ,434 ,120.1 ,433 ,119.8 
Zapallar ,7994 ,96 ,1200.9 ,3 ,37.5 ,11 ,137.6 ,11 ,137.6 
Desconocido & ,- ,389 ,- ,O ,- ,28 ,- ,28 ,- 
Total ,1960170 ,28131 ,1435.1 ,649 ,33.1 ,2416 ,123.3 ,2402 ,122.5 
