Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Chepica ,& 15925 ,135 ,847.7 ,3 ,18.8 ,36 ,226.1 ,36 ,226.1 
Chimbarongo ,37696 ,157 ,416.5 ,3 ,8.0 ,18 ,47.8 ,18 ,47.8 
Codegua ,14096 ,170 ,1206.0 ,4 ,28.4 ,36 ,255.4 ,36 ,255.4 
Coinco ,& 7831 ,99 ,1264.2 ,3 ,38.3 ,17 ,217.1 ,17 ,217.1 
Coltauco ,21263 ,149 ,700.7 ,4 ,18.8 ,32 ,150.5 ,32 ,150.5 
Donihue ,& 22700 ,357 ,1572.7 ,5 ,22.0 ,58 ,255.5 ,58 ,255.5 
Graneros ,& 36504 ,419 ,1147.8 ,4 ,11.0 ,54 ,147.9 ,54 ,147.9 
La Estrella ,3114 ,33 ,1059.7 ,O ,0.0 ,2 ,64.2 ,2 ,64.2 
Las Cabras ,& 26749 ,181 ,676.7 ,4 ,15.0 ,28 ,104.7 ,27 ,100.9 
Litueche ,6765 ,74 ,1093.9 ,1 ,14.8 ,2 ,29.6 ,2 ,29.6 
Lolol ,7289 ,45 ,617.4 ,1 ,13.7 ,0 ,0.0 ,O ,0.0 
Machali ,& 59913 ,891 ,1487.2 ,8 ,13.4 ,81 ,135.2 ,81 ,135.2 
Malloa ,14163 ,89 ,628.4 ,2 ,14.1 ,20 ,141.2 ,20 ,141.2 
Marchihue ,7632 ,22 ,288.3 ,O ,0.0 ,5 ,65.5 ,5 ,65.5 
Mostazal ,27462 ,223 ,812.0 ,4 ,14.6 ,25 ,91.0 ,25 ,91.0 
Nancagua ,19141 ,86 ,449.3 ,3 ,15.7 ,10 ,52.2 ,10 ,52.2 
Navidad ,6904 ,76 ,1100.8 ,1 ,14.5 ,6 ,86.9 ,6 ,86.9 
Olivar ,& 14624 ,181 ,1237.7 ,3 ,20.5 ,20 ,136.8 ,20 ,136.8 
Palmilla ,13299 ,37 ,278.2 ,2 ,15.0 ,7 ,52.6 ,7 ,52.6 
Paredones ,6349 ,19 ,299.3 ,1 ,15.8 ,4 ,63.0 ,4 ,63.0 
Peralillo ,11848 ,53 ,447.3 ,1 ,8.4 ,4 ,33.8 ,4 ,33.8 
