RegiondeNotificacionoTomadeMuestra,ResidenciaDesconocida,SE9,SE10
Region de Arica y Parinacota ,,,
Region de Tarapaca ,413 ,O ,O 
Region de Antofagasta ,,,
Region de Atacama ,,,
Region de Coquimbo ,134 ,O ,O 
Region de Valparaiso ,398 ,O ,O 
Region Metropolitana de Santiago ,16381 ,O ,0 
Region del Libertador General Bernardo OHiggins ,87 ,O ,0 
Region del Maule ,,,
Region del Nuble ,,,
Region del Biobio ,191 ,O ,0 
Region de la Araucania ,,,
Region de Los Rios ,,,
Region de LOs Lagos ,75 ,O ,0 
Region de Aysen del General Carlos ibanez del Campo ,,,
Region de Magallanes y la Antartica Chilena ,71 ,O ,0 
Desconocido ,,,
Total pais ,18134 ,0 ,0 
