Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alhue ,,7405 ,217 ,2930.5 ,4 ,54.0 ,26 ,351.1 ,26 ,351.1 
Buin ,& ,109641 ,2426 ,2212.7 ,78 ,71.1 ,123 ,112.2 ,123 ,112.2 
Calera de Tango ,,28525 ,581 ,2036.8 ,8 ,28.0 ,15 ,52.6 ,15 ,52.6 
Cerrillos ,& ,88956 ,3072 ,3453.4 ,78 ,87.7 ,74 ,83.2 ,74 ,83.2 
Cerro Navia ,& ,142465 ,6601 ,4633.4 ,255 ,179.0 ,227 ,159.3 ,227 ,159.3 
Colina ,& ,180353 ,4605 ,2553.3 ,111 ,61.5 ,86 ,47.7 ,86 ,47.7 
Conchali ,& ,139195 ,6195 ,4450.6 ,223 ,160.2 ,130 ,93.4 ,130 ,93.4 
Curacavi ,& ,36430 ,894 ,2454.0 ,17 ,46.7 ,38 ,104.3 ,38 ,104.3 
EI Bosque ,& ,172000 ,6464 ,3758.1 ,208 ,120.9 ,131 ,76.2 ,131 ,76.2 
EI Monte ,& ,40014 ,1214 ,3033.9 ,41 ,102.5 ,57 ,142.5 ,57 ,142.5 
Estacion Central ,& ,206792 ,6215 ,3005.4 ,146 ,70.6 ,106 ,51.3 ,106 ,51.3 
Huechuraba ,& ,112528 ,3861 ,3431.1 ,138 ,122.6 ,112 ,99.5 ,112 ,99.5 
Independencia ,& ,142065 ,6491 ,4569.0 ,241 ,169.6 ,138 ,97.1 ,138 ,97.1 
Isla de Maipo ,& ,40171 ,1083 ,2696.0 ,19 ,47.3 ,105 ,261.4 ,105 ,261.4 
La Cisterna ,& ,100434 ,3222 ,3208.1 ,116 ,115.5 ,75 ,74.7 ,75 ,74.7 
La Florida ,& ,402433 ,13626 ,3385.9 ,468 ,116.3 ,283 ,70.3 ,281 ,69.8 
La Granja ,& ,122557 ,7005 ,5715.7 ,201 ,164.0 ,103 ,84.0 ,102 ,83.2 
La Pintana ,& ,189335 ,10249 ,5413.2 ,310 ,163.7 ,316 ,166.9 ,314 ,165.8 
La Reina ,& ,100252 ,2220 ,2214.4 ,87 ,86.8 ,59 ,58.9 ,59 ,58.9 
Lampa ,& ,126898 ,3545 ,2793.6 ,52 ,41.0 ,117 ,92.2 ,116 ,91.4 
Las Condes ,& ,330759 ,5850 ,1768.7 ,296 ,89.5 ,113 ,34.2 ,110 ,33.3 
Lo Barnechea ,& ,124076 ,3287 ,2649.2 ,72 ,58.0 ,76 ,61.3 ,76 ,61.3 
Lo Espejo ,& ,103865 ,4281 ,4121.7 ,188 ,181.0 ,106 ,102.1 ,105 ,101.1 
