Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Corral ,5447 ,26 ,477.3 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Futrono ,15261 ,61 ,399.7 ,O ,0.0 ,O ,0.0 ,O ,0.0 
La Union ,39538 ,102 ,258.0 ,3 ,7.6 ,4 ,10.1 ,4 ,10.1 
Lago Ranco ,10292 ,7 ,68.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Lanco ,17652 ,30 ,170.0 ,O ,0.0 ,2 ,11.3 ,2 ,11.3 
Los Lagos & ,20518 ,63 ,307.0 ,1 ,4.9 ,O ,0.0 ,O ,0.0 
Mafil ,7389 ,29 ,392.5 ,0 ,0.0 ,7 ,94.7 ,7 ,94.7 
Mariquina ,23250 ,38 ,163.4 ,O ,0.0 ,2 ,8.6 ,2 ,8.6 
Paillaco ,20798 ,38 ,182.7 ,1 ,4.8 ,4 ,19.2 ,4 ,19.2 
Panguipulli ,35991 ,66 ,183.4 ,1 ,2.8 ,1 ,2.8 ,1 ,2.8 
Rio Bueno ,32925 ,38 ,115.4 ,0 ,0.0 ,5 ,15.2 ,5 ,15.2 
Valdivia ,176774 ,454 ,256.8 ,6 ,3.4 ,39 ,22.1 ,39 ,22.1 
Desconocido & ,- ,6 ,- ,O ,- ,O ,- ,O ,- 
,,,,,,,,,
,,,,,,,,,
