Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Algarrobo ,& 15174 ,117 ,771.1 ,2 ,13.2 ,2 ,13.2 
Cabildo ,20663 ,353 ,1708.4 ,19 ,92.0 ,19 ,92.0 
Calera ,& 53591 ,1041 ,1942.5 ,115 ,214.6 ,111 ,207.1 
Calle Larga ,16482 ,294 ,1783.8 ,33 ,200.2 ,33 ,200.2 
Cartagena ,25357 ,212 ,836.1 ,11 ,43.4 ,11 ,43.4 
Casablanca ,& 29170 ,413 ,1415.8 ,51 ,174.8 ,51 ,174.8 
Catemu ,& 15213 ,199 ,1308.1 ,29 ,190.6 ,29 ,190.6 
Con Con ,& 45889 ,587 ,1279.2 ,36 ,78.5 ,36 ,78.5 
EI Quisco ,17742 ,211 ,1189.3 ,25 ,140.9 ,25 ,140.9 
EI Tabo ,14338 ,258 ,1799.4 ,8 ,55.8 ,8 ,55.8 
Hijuelas ,& 19099 ,277 ,1450.3 ,25 ,130.9 ,25 ,130.9 
Isla de Pascua ,8277 ,5 ,60.4 ,O ,0.0 ,0 ,0.0 
Juan Fernandez ,1033 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 
La Cruz ,& 25321 ,279 ,1101.9 ,24 ,94.8 ,24 ,94.8 
La Ligua ,& 37739 ,613 ,1624.3 ,92 ,243.8 ,91 ,241.1 
Limache ,& 49931 ,977 ,1956.7 ,70 ,140.2 ,69 ,138.2 
Llaillay ,& 26533 ,397 ,1496.2 ,16 ,60.3 ,16 ,60.3 
Los Andes ,68093 ,1082 ,1589.0 ,20 ,29.4 ,20 ,29.4 
Nogales ,23490 ,303 ,1289.9 ,44 ,187.3 ,43 ,183.1 
Olmue ,& 19266 ,241 ,1250.9 ,39 ,202.4 ,39 ,202.4 
Panquehue ,& 7633 ,116 ,1519.7 ,2 ,26.2 ,2 ,26.2 
