Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alto Biobio ,6775 ,176 ,2597.8 ,O ,0.0 ,2 ,29.5 ,2 ,29.5 
Antuco ,4306 ,63 ,1463.1 ,1 ,23.2 ,1 ,23.2 ,1 ,23.2 
Arauco ,38679 ,462 ,1194.4 ,3 ,7.8 ,63 ,162.9 ,63 ,162.9 
Cabrero ,30725 ,166 ,540.3 ,2 ,6.5 ,11 ,35.8 ,11 ,35.8 
Canete ,37003 ,154 ,416.2 ,1 ,2.7 ,27 ,73.0 ,27 ,73.0 
Chiguayante ,& 91180 ,774 ,848.9 ,11 ,12.1 ,137 ,150.3 ,137 ,150.3 
Concepcion ,& 238092 ,2173 ,912.7 ,32 ,13.4 ,300 ,126.0 ,300 ,126.0 
Contulmo ,6330 ,49 ,774.1 ,O ,0.0 ,3 ,47.4 ,3 ,47.4 
Coronel ,& 125829 ,1669 ,1326.4 ,8 ,6.4 ,211 ,167.7 ,211 ,167.7 
Curanilahue ,33892 ,237 ,699.3 ,2 ,5.9 ,30 ,88.5 ,30 ,88.5 
Florida ,11841 ,69 ,582.7 ,3 ,25.3 ,5 ,42.2 ,5 ,42.2 
Hualpen ,& 97273 ,989 ,1016.7 ,14 ,14.4 ,155 ,159.3 ,152 ,156.3 
Hualqui ,26201 ,304 ,1160.3 ,6 ,22.9 ,73 ,278.6 ,71 ,271.0 
Laja ,23873 ,192 ,804.3 ,0 ,0.0 ,6 ,25.1 ,6 ,25.1 
Lebu ,27100 ,58 ,214.0 ,0 ,0.0 ,13 ,48.0 ,13 ,48.0 
Los Alamos ,22524 ,175 ,776.9 ,O ,0.0 ,37 ,164.3 ,37 ,164.3 
Los Angeles ,& 218515 ,1291 ,590.8 ,13 ,5.9 ,72 ,32.9 ,72 ,32.9 
Lota ,45750 ,523 ,1143.2 ,2 ,4.4 ,62 ,135.5 ,62 ,135.5 
Mulchen ,31041 ,146 ,470.3 ,O ,0.0 ,11 ,35.4 ,11 ,35.4 
Nacimiento ,27944 ,174 ,622.7 ,4 ,14.3 ,7 ,25.1 ,7 ,25.1 
Negrete ,10429 ,146 ,1399.9 ,2 ,19.2 ,10 ,95.9 ,10 ,95.9 
