Teno,&0OO1,,O,O,1,1,133,3,4,7,11,32,30,30,36,24,29,40,27,16,O
Vichuquen ,O O O O ,,O ,O ,O ,O ,O O O ,O ,O ,O ,O ,O ,O ,O ,1 ,1 ,4 ,O ,O ,O ,O 
Villa Alegre ,& 0 O O O ,,O ,0 ,1 ,1 ,O O 1 ,2 ,O ,9 ,18 ,9 ,11 ,15 ,23 ,12 ,29 ,11 ,4 ,7 ,O 
Yerbas Buenas ,& O O O O ,,O ,O ,1 ,O ,2 O 4 ,9 ,12 ,23 ,13 ,15 ,10 ,7 ,2 ,9 ,13 ,5 ,16 ,10 ,O 
Desconocido ,& 0 0 0 1 ,,0 ,O ,O ,O ,1 0 0 ,1 ,0 ,2 ,3 ,7 ,10 ,5 ,0 ,2 ,3 ,5 ,O ,1 ,O 
Total ,1 5 11 29 ,,51 ,47 ,65 ,165 ,52 51 118 ,247 ,489 ,731 ,969 ,1076 ,1201 ,1069 ,965 ,839 ,767 ,763 ,578 ,414 ,0 
