,,,SE,SESESESE
,,,14 ,15 16 17 18 
61.9 ,O O O ,10 27 ,10 ,7 7 5 8 
,,,74 ,33 24 17 9 
,,,7 ,13 3 1 O 
0.0 ,0 O O ,O O ,O ,O O O O 
0.0 ,O O O ,O 2 ,2 ,O O O O 
,,,4 ,6 12 12 2 
,,,1 ,O O O O 
,,,2 ,O 2 O O 
0.0 ,0 O O ,0 O ,1 ,2 0 O O 
,,,4 ,1 0 O 0 
0.0 ,0 O 0 ,2 3 ,5 ,1 1 O O 
,,,O ,O O O O 
,,,8 ,1 O 3 2 
0.0 ,O O O ,O 1 ,2 ,O 1 O O 
,,,6 ,O 0 O O 
3.6 ,0 0 2 ,6 10 ,9 ,2 3 3 2 
0.0 ,O 0 O ,3 3 ,1 ,O 1 O O 
18.0 ,O 0 0 ,2 2 ,1 ,O 1 3 2 
,,,4 ,4 O O O 
,,,O ,O 0 O O 
21.5 ,0 0 0 ,5 14 ,21 ,3 4 6 2 
8.4 ,0 1 35 ,168 217 ,162 ,73 59 50 27 
