Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Corral ,5447 ,26 ,477.3 ,O ,0.0 ,0 ,0.0 
Futrono ,15261 ,62 ,406.3 ,O ,0.0 ,0 ,0.0 
La Union ,39538 ,116 ,293.4 ,10 ,25.3 ,10 ,25.3 
Lago Ranco ,10292 ,8 ,77.7 ,O ,0.0 ,0 ,0.0 
Lanco ,17652 ,59 ,334.2 ,15 ,85.0 ,15 ,85.0 
Los Lagos ,20518 ,68 ,331.4 ,4 ,19.5 ,4 ,19.5 
Mafil ,7389 ,36 ,487.2 ,2 ,27.1 ,2 ,27.1 
Mariquina ,23250 ,58 ,249.5 ,14 ,60.2 ,14 ,60.2 
Paillaco ,20798 ,43 ,206.8 ,3 ,14.4 ,3 ,14.4 
Panguipulli ,35991 ,104 ,289.0 ,31 ,86.1 ,31 ,86.1 
Rio Bueno ,32925 ,91 ,276.4 ,17 ,51.6 ,17 ,51.6 
Valdivia ,176774 ,605 ,342.2 ,49 ,27.7 ,49 ,27.7 
Desconocido ,- ,7 ,- ,O ,- ,0 ,- 
Total ,405835 ,1283 ,316.1 ,145 ,35.7 ,145 ,35.7 
