Santiago,170,128,750,186,140,750
Talagante ,42 ,30 ,720 ,,NR ,
Tiltil ,8 ,5 ,630 ,24 ,22 ,910 
Vitacura ,44 ,40 ,900 ,92 ,83 ,900 
Total ,4.869 ,4.210 ,865 ,4.482 ,4.146 ,925 
