,,,,,,,,,,Numerode,Casossegun,Fechade,Iniciode,Sintomas.,Notificacion,oToma,deMuestra,,,,,
Comuna ,Poblacion ,Numero de ,Tasa incidencia ,Numero ,Tasa de ,Numero de ,Tasa de Incidencia ,Numero de ,Tasa de Incidencia ,SE SE SE SE ,SE ,SE ,SE SE ,SE ,SE ,SE ,SE SE ,SE ,SE ,SE ,SE ,SE SE 
,,Casos Confirmados ,acumulada ,de Fallecidos ,Mortalidad ,Casos Actuales ,Actual ,Casos Activos ,Activos ,9 10 11 12 ,13 ,14 ,15 16 ,17 ,18 ,19 ,20 21 ,22 ,23 ,24 ,25 ,26 27 
Alhue ,7405 ,84 ,1134.4 ,1 ,13.5 ,22 ,297.1 ,22 ,297.1 ,0 0 0 0 ,0 ,1 ,0 0 ,0 ,0 ,4 ,1 4 ,8 ,15 ,25 ,14 ,12 0 
Buin& ,109641 ,1776 ,1619.8 ,49 ,44.7 ,223 ,203.4 ,222 ,202.5 ,0 0 O 5 ,17 ,10 ,15 18 ,19 ,62 ,136 ,189 228 ,217 ,281 ,266 ,196 ,115 2 
Calera de Tango8 ,28525 ,428 ,1500.4 ,3 ,10.5 ,81 ,284.0 ,81 ,284.0 ,0 0 O 4 ,4 ,1 ,1 5 ,1 ,8 ,19 ,32 36 ,69 ,69 ,72 ,53 ,54 0 
Cerrillos ,88956 ,2468 ,2774.4 ,51 ,57.3 ,250 ,281.0 ,247 ,277.7 ,1 3 1 4 ,11 ,14 ,20 21 ,68 ,226 ,203 ,276 313 ,272 ,347 ,333 ,229 ,124 2 
Cerro Navia8 ,142465 ,5307 ,3725.1 ,183 ,128.5 ,463 ,325.0 ,461 ,323.6 ,O 2 10 16 ,15 ,14 ,37 49 ,108 ,267 ,568 ,680 723 ,752 ,756 ,624 ,497 ,185 4 
Colina& ,180353 ,3945 ,2187.4 ,75 ,41.6 ,351 ,194.6 ,348 ,193.0 ,1 3 7 28 ,16 ,25 ,18 22 ,36 ,134 ,369 ,538 609 ,613 ,603 ,418 ,326 ,174 5 
Conchalf& ,139195 ,5189 ,3727.9 ,164 ,117.8 ,459 ,329.8 ,458 ,329.0 ,0 3 2 17 ,14 ,19 ,40 73 ,133 ,379 ,632 ,712 665 ,644 ,647 ,556 ,445 ,206 2 
Curacavi ,36430 ,698 ,1916.0 ,10 ,27.4 ,68 ,186.7 ,68 ,186.7 ,0 0 1 2 ,5 ,5 ,4 1 ,4 ,18 ,40 ,70 95 ,139 ,104 ,102 ,67 ,40 1 
EI Bosque8 ,172000 ,5095 ,2962.2 ,143 ,83.1 ,542 ,315.1 ,531 ,308.7 ,O 0 1 14 ,23 ,34 ,52 47 ,87 ,222 ,404 ,552 547 ,748 ,842 ,712 ,530 ,279 1 
EI IMonte& ,40014 ,850 ,2124.3 ,26 ,65.0 ,129 ,322.4 ,129 ,322.4 ,0 1 1 1 ,1 ,7 ,4 3 ,7 ,16 ,39 ,74 142 ,100 ,124 ,126 ,148 ,54 2 
Estacion Central& ,206792 ,5281 ,2553.8 ,99 ,47.9 ,444 ,214.7 ,442 ,213.7 ,0 2 3 11 ,28 ,34 ,40 81 ,170 ,367 ,567 ,670 676 ,738 ,698 ,561 ,432 ,202 1 
Huechuraba ,112528 ,3185 ,2830.4 ,106 ,94.2 ,266 ,236.4 ,265 ,235.5 ,0 0 5 20 ,10 ,19 ,20 34 ,57 ,201 ,371 ,499 451 ,418 ,388 ,283 ,296 ,110 3 
Independencia& ,142065 ,5635 ,3966.5 ,176 ,123.9 ,319 ,224.5 ,318 ,223.8 ,0 0 4 16 ,10 ,26 ,50 146 ,308 ,569 ,785 ,771 761 ,727 ,564 ,440 ,313 ,140 5 
