06-06-20,4428,5526
07-06-20 ,3443 ,4919 
08-06-20 ,7916 ,6820 
09-06-20 ,7200 ,5351 
10-06-20 ,6878 ,5614 
11-06-20 ,6392 ,5070 
12-06-20 ,6195 ,5769 
13-06-20 ,3982 ,5191 
14-06-20 ,3108 ,4591 
15-06-20 ,7360 ,6176 
16-06-20 ,6749 ,5267 
17-06-20 ,6253 ,4905 
18-06-20 ,6086 ,5051 
19-06-20 ,5969 ,4996 
20-06-20 ,3419 ,4726 
21-06-20 ,2645 ,3892 
22-06-20 ,6457 ,4865 
23-06-20 ,5531 ,4360 
24-06-20 ,5452 ,4047 
25-06-20 ,5078 ,3857 
26-06-20 ,4932 ,3953 
27-06-20 ,3252 ,3294 
28-06-20 ,2495 ,3174 
29-06-20 ,2354 ,3386 
30-06-20 ,4972 ,3791 
01-07-20 ,4771 ,3978 
02-07-20 ,4384 ,2983 
03-07-20 ,4306 ,3213 
04-07-20 ,2077 ,2884 
05-07-20 ,1958 ,2784 
06-07-20 ,4391 ,3461 
07-07-20 ,4179 ,3024 
08-07-20 ,3656 ,2612 
09-07-20 ,3702 ,2619 
10-07-20 ,3272 ,2800 
11-07-20 ,2076 ,2197 
12-07-20 ,1557 ,2014 
13-07-20 ,3660 ,2406 
14-07-20 ,3304 ,2134 
15-07-20 ,2618 ,1857 
16-07-20 ,1305 ,1389 
17-07-20 ,2545 ,1759 
18-07-20 ,1547 ,1218 
19-07-20 ,1302 ,789 
20-07-20 ,2577 ,842 
21-07-20 ,1542 ,541 
22-07-20 ,402 ,125 
23-07-20 ,2 ,1 
