SagradaFamilia,,19469,107,549.6,1,5.1,16,,82.2,16,82.2
San Clemente ,& ,46292 ,563 ,1216.2 ,10 ,21.6 ,51 ,,110.2 ,51 ,110.2 
San Javier ,& ,49451 ,511 ,1033.3 ,13 ,26.3 ,46 ,,93.0 ,46 ,93.0 
San Rafael ,,9959 ,132 ,1325.4 ,0 ,0.0 ,5 ,,50.2 ,5 ,50.2 
Talca ,& ,236724 ,2112 ,892.2 ,35 ,14.8 ,217 ,,91.7 ,217 ,91.7 
Teno ,& ,30850 ,299 ,969.2 ,5 ,16.2 ,42 ,,136.1 ,42 ,136.1 
Vichuquen ,,4381 ,6 ,137.0 ,1 ,22.8 ,O ,,0.0 ,O ,0.0 
Villa Alegre ,& ,17512 ,153 ,873.7 ,2 ,11.4 ,11 ,,62.8 ,11 ,62.8 
Yerbas Buenas ,& ,19200 ,151 ,786.5 ,5 ,26.0 ,23 ,,119.8 ,23 ,119.8 
Desconocido ,& ,- ,41 ,- ,0 ,- ,1 ,,- ,1 ,- 
Total ,,1131939 ,10703 ,945.5 ,200 ,17.7 ,929 ,,82.1 ,926 ,81.8 
