Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alto Biobio ,6775 ,169 ,2494.5 ,O ,0.0 ,11 ,162.4 ,11 ,162.4 
Antuco ,4306 ,54 ,1254.1 ,1 ,23.2 ,6 ,139.3 ,6 ,139.3 
Arauco ,38679 ,309 ,798.9 ,1 ,2.6 ,25 ,64.6 ,25 ,64.6 
Cabrero ,30725 ,140 ,455.7 ,1 ,3.3 ,15 ,48.8 ,14 ,45.6 
Canete ,37003 ,67 ,181.1 ,O ,0.0 ,31 ,83.8 ,31 ,83.8 
Chiguayante ,& 91180 ,502 ,550.6 ,10 ,11.0 ,99 ,108.6 ,99 ,108.6 
Concepcion ,& 238092 ,1571 ,659.8 ,26 ,10.9 ,202 ,84.8 ,202 ,84.8 
Contulmo ,6330 ,45 ,710.9 ,0 ,0.0 ,2 ,31.6 ,2 ,31.6 
Coronel ,& 125829 ,1194 ,948.9 ,5 ,4.0 ,139 ,110.5 ,138 ,109.7 
Curanilahue ,33892 ,160 ,472.1 ,1 ,3.0 ,60 ,177.0 ,60 ,177.0 
Florida ,11841 ,38 ,320.9 ,3 ,25.3 ,4 ,33.8 ,4 ,33.8 
Hualpen ,97273 ,655 ,673.4 ,3 ,3.1 ,92 ,94.6 ,92 ,94.6 
Hualqui ,26201 ,193 ,736.6 ,3 ,11.4 ,32 ,122.1 ,32 ,122.1 
Laja ,23873 ,158 ,661.8 ,O ,0.0 ,22 ,92.2 ,22 ,92.2 
Lebu ,27100 ,36 ,132.8 ,0 ,0.0 ,5 ,18.5 ,5 ,18.5 
Los Alamos ,22524 ,110 ,488.4 ,0 ,0.0 ,13 ,57.7 ,13 ,57.7 
Los Angeles ,& 218515 ,1058 ,484.2 ,6 ,2.7 ,160 ,73.2 ,160 ,73.2 
Lota ,& 45750 ,368 ,804.4 ,2 ,4.4 ,45 ,98.4 ,45 ,98.4 
Mulchen ,31041 ,125 ,402.7 ,0 ,0.0 ,26 ,83.8 ,26 ,83.8 
Nacimiento ,27944 ,156 ,558.3 ,3 ,10.7 ,10 ,35.8 ,10 ,35.8 
Negrete ,10429 ,126 ,1208.2 ,2 ,19.2 ,14 ,134.2 ,14 ,134.2 
