Comuna,SESESE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE
,9 10 11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 
,& 0 2 1 ,2 ,23 ,70 ,67 ,53 ,69 ,51 ,45 ,89 ,147 ,194 ,279 ,274 ,293 ,348 ,423 ,569 ,124 ,O 
Camarones ,O 0 0 ,0 ,0 ,O ,0 ,0 ,0 ,0 ,O ,0 ,O ,O ,0 ,0 ,0 ,O ,1 ,11 ,1 ,0 
,O 0 0 ,O ,O ,O ,O ,0 ,O ,0 ,O ,O ,O ,O ,0 ,O ,O ,O ,O ,0 ,O ,O 
,O O O ,O ,O ,O ,O ,O ,0 ,O ,O ,O ,O ,O ,1 ,9 ,O ,1 ,6 ,11 ,O ,O 
Desconocido ,& O O O ,O ,O ,O ,1 ,0 ,O ,O ,O ,O ,1 ,O ,O ,O ,0 ,O ,O ,O ,3 ,O 
,0 2 1 ,2 ,23 ,70 ,68 ,53 ,69 ,51 ,45 ,89 ,148 ,194 ,280 ,283 ,293 ,349 ,430 ,591 ,128 ,0 
