ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada
Region de Arica y Parinacota ,252110 ,310 ,123.0 
Region de Tarapaca ,382773 ,287 ,75.0 
Region de Antofagasta ,691854 ,749 ,108.3 
Region de Atacama ,314709 ,72 ,22.9 
Region de Coquimbo ,836096 ,104 ,12.4 
Region de Valparaiso ,1960170 ,646 ,33.0 
Region Metropolitana de Santiago ,8125072 ,13473 ,165.8 
Region del Libertador General Bernardo O'Higgins ,991063 ,133 ,13.4 
Region del Maule ,1131939 ,413 ,36.5 
Region del Nuble ,511551 ,785 ,153.5 
Region del Biobio ,1663696 ,759 ,45.6 
Region de la Araucania ,1014343 ,1325 ,130.6 
Region de Los Rios ,405835 ,200 ,49.3 
Region de Los Lagos ,891440 ,503 ,56.4 
Region de Aysen del General Carlos ibanez del Campo ,107297 ,4 ,3.7 
Region de Magallanes y la Antartica Chilena ,178362 ,781 ,437.9 
Desconocido ,- ,26 ,- 
Total pais ,19458310 ,20570 ,105.71 
