Purranque&,21080,83,393.7,O,0.0,3,14.2,3,14.2
Puyehue ,11787 ,16 ,135.7 ,O ,0.0 ,3 ,25.5 ,3 ,25.5 
Queilen ,5543 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Quellon ,29309 ,6 ,20.5 ,O ,0.0 ,1 ,3.4 ,1 ,3.4 
Quemchi ,8783 ,14 ,159.4 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Quinchao ,8298 ,2 ,24.1 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Rio Negro & ,14275 ,46 ,322.2 ,O ,0.0 ,3 ,21.0 ,3 ,21.0 
San Juan de la Costa ,7639 ,42 ,549.8 ,2 ,26.2 ,O ,0.0 ,O ,0.0 
San Pablo ,10553 ,15 ,142.1 ,1 ,9.5 ,3 ,28.4 ,3 ,28.4 
Desconocido & ,- ,56 ,- ,0 ,- ,15 ,- ,15 ,- 
