SEREMIdeNotificacion,Poblacion,Casosnuevos+sintomaticos,Casosnuevos+asintomaticos,Casosnuevostotales,Casosacumulados,TasaIncidenciaAcumulada
Arica y Parinacota ,252110 ,13 ,5 ,18 ,297 ,117.8 
Tarapaca ,382773 ,0 ,2 ,2 ,200 ,52.3 
Antofagasta ,691854 ,37 ,6 ,43 ,589 ,85.1 
Atacama ,314709 ,O ,0 ,0 ,43 ,13.7 
Coquimbo ,836096 ,O ,1 ,1 ,77 ,9.2 
Valparaiso ,1960170 ,4 ,5 ,9 ,568 ,29.0 
Metropolitana de Santiago ,8125072 ,812 ,79 ,891 ,10545 ,129.8 
Libertador Gral B OHiggins ,991063 ,1 ,0 ,1 ,109 ,11.0 
Maule ,1131939 ,1 ,O ,1 ,394 ,34.8 
Nuble ,511551 ,O ,O ,O ,756 ,147.8 
Biobio ,1663696 ,O ,2 ,2 ,729 ,43.8 
La Araucania ,1014343 ,O ,2 ,2 ,1295 ,127.7 
Los Rios & ,405835 ,0 ,0 ,0 ,172 ,42.4 
Los Lagos ,891440 ,13 ,1 ,14 ,501 ,56.2 
Aisen del General Carlos ibanez del Campo ,107297 ,O ,0 ,0 ,7 ,6.5 
Magallanes y la Antartica Chilena ,178362 ,1 ,0 ,1 ,726 ,407.0 
Tota pais ,19458310 ,882 ,103 ,985 ,17008 ,87.4 
