Comuna,SESESE,SE,SE,SE,SE,SE,SESE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE
,9 10 11 ,12 ,13 ,14 ,15 ,16 ,17 18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 
Alto del Carmen ,O O O ,O ,O ,O ,O ,O ,O O ,O ,O ,O ,1 ,3 ,1 ,1 ,1 ,1 ,2 ,O ,O 
Caldera ,O O O ,O ,O ,O ,O ,O ,O 2 ,2 ,1 ,1 ,3 ,2 ,7 ,5 ,14 ,7 ,6 ,9 ,O 
Chanaral ,O 0 O ,O ,O ,O ,O ,O ,O 0 ,O ,0 ,1 ,O ,2 ,6 ,12 ,2 ,4 ,9 ,2 ,O 
Copiapo & ,O O 1 ,O ,2 ,1 ,4 ,O ,12 27 ,27 ,14 ,26 ,57 ,113 ,121 ,145 ,150 ,172 ,192 ,107 ,O 
Diego de & Almagro ,1 O O ,O ,1 ,O ,O ,O ,O 1 ,1 ,4 ,3 ,6 ,4 ,8 ,4 ,2 ,10 ,4 ,O ,O 
Freirina ,O O O ,O ,O ,O ,O ,1 ,O O ,O ,O ,O ,O ,2 ,1 ,5 ,3 ,10 ,24 ,O ,O 
Huasco ,O O O ,O ,O ,O ,O ,O ,O 1 ,O ,O ,O ,2 ,6 ,3 ,4 ,6 ,3 ,O ,1 ,O 
Tierra Amarilla ,O O O ,O ,O ,2 ,3 ,O ,2 5 ,10 ,2 ,O ,1 ,10 ,15 ,11 ,5 ,15 ,22 ,13 ,O 
Vallenar & ,O O O ,O ,O ,O ,1 ,8 ,12 10 ,13 ,2 ,6 ,15 ,27 ,54 ,66 ,53 ,74 ,58 ,19 ,O 
Desconocido & ,O O O ,O ,O ,O ,O ,O ,O O ,O ,O ,O ,O ,O ,O ,9 ,1 ,2 ,1 ,1 ,O 
Total ,1 0 1 ,0 ,3 ,3 ,8 ,9 ,26 46 ,53 ,23 ,37 ,85 ,169 ,216 ,262 ,237 ,298 ,318 ,152 ,0 
