Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Bulnes ,& ,22607 ,398 ,1760.5 ,7 ,31.0 ,52 ,230.0 ,52 ,230.0 
Chillan ,& ,198624 ,1765 ,888.6 ,17 ,8.6 ,95 ,47.8 ,95 ,47.8 
Chillan Viejo ,,33827 ,291 ,860.3 ,2 ,5.9 ,8 ,23.6 ,8 ,23.6 
Cobquecura ,,5275 ,2 ,37.9 ,O ,0.0 ,1 ,19.0 ,1 ,19.0 
Coelemu ,,16845 ,80 ,474.9 ,2 ,11.9 ,8 ,47.5 ,8 ,47.5 
Coihueco ,,28375 ,211 ,743.6 ,4 ,14.1 ,13 ,45.8 ,13 ,45.8 
EI Carmen ,,12334 ,103 ,835.1 ,2 ,16.2 ,11 ,89.2 ,11 ,89.2 
Ninhue ,,5414 ,50 ,923.5 ,3 ,55.4 ,4 ,73.9 ,4 ,73.9 
Niquen ,,11567 ,91 ,786.7 ,2 ,17.3 ,8 ,69.2 ,8 ,69.2 
Pemuco ,,8639 ,103 ,1192.3 ,2 ,23.2 ,1 ,11.6 ,1 ,11.6 
Pinto ,,11880 ,68 ,572.4 ,0 ,0.0 ,3 ,25.3 ,3 ,25.3 
Portezuelo ,,4940 ,21 ,425.1 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Quillon ,,18777 ,184 ,979.9 ,4 ,21.3 ,8 ,42.6 ,8 ,42.6 
Quirihue ,,12192 ,70 ,574.1 ,2 ,16.4 ,8 ,65.6 ,8 ,65.6 
Ranquil ,,6261 ,41 ,654.8 ,0 ,0.0 ,5 ,79.9 ,5 ,79.9 
San Carlos ,& ,56252 ,498 ,885.3 ,6 ,10.7 ,16 ,28.4 ,16 ,28.4 
San Fabian ,,4654 ,15 ,322.3 ,O ,0.0 ,2 ,43.0 ,2 ,43.0 
San Ignacio ,,16624 ,177 ,1064.7 ,5 ,30.1 ,7 ,42.1 ,7 ,42.1 
San Nicolas ,,12172 ,125 ,1026.9 ,3 ,24.6 ,14 ,115.0 ,14 ,115.0 
Treguaco ,,5696 ,8 ,140.4 ,1 ,17.6 ,2 ,35.1 ,2 ,35.1 
Yungay ,,18596 ,136 ,731.3 ,1 ,5.4 ,15 ,80.7 ,15 ,80.7 
Desconocido ,& ,- ,1 ,- ,0 ,- ,0 ,- ,0 ,- 
Total ,,511551 ,4438 ,867.6 ,63 ,12.3 ,281 ,54.9 ,281 ,54.9 
