Comuna,No,Poblacion,Tasa
Recoleta ,17 ,190075 ,"8,9 "
Renca ,9 ,160847 ,"5,6 "
San Bernardo ,32 ,334836 ,"9,6 "
San Joaquin ,13 ,103485 ,"12,6 "
San Jose de Maipo ,- ,18644 ,"10,7 "
San Miguel ,25 ,133059 ,"18,8 "
San Pedro ,- ,11953 ,"0,0 "
San Ramon ,- ,86510 ,"1,2 "
Santiago ,127 ,503147 ,"25,2 "
Talagante ,- ,81838 ,"3,7 "
Tiltil ,- ,21477 ,"9,3 "
Vitacura ,83 ,96774 ,"85,8 "
Total ,1197 ,8125072 ,"14,7 "
