Negrete&,10429,103,987.6,1,9.6,29,278.1,29,278.1,OOO,0O20,O00,7,1210912,22,1514
Penco ,49865 ,236 ,473.3 ,1 ,2.0 ,70 ,140.4 ,70 ,140.4 ,0 0 O ,1 4 3 3 ,8 O 3 ,2 ,2 10 14 43 ,73 ,51 19 
Quilaco ,4179 ,10 ,239.3 ,0 ,0.0 ,4 ,95.7 ,4 ,95.7 ,0 0 O ,0 0 0 O ,0 0 0 ,0 ,O 0 2 3 ,1 ,1 3 
Quilleco ,10032 ,12 ,119.6 ,1 ,10.0 ,4 ,39.9 ,4 ,39.9 ,O 0 O ,0 0 O 0 ,O 0 0 ,O ,O 1 3 2 ,2 ,1 3 
San Pedro de la Paz& ,145906 ,552 ,378.3 ,7 ,4.8 ,155 ,106.2 ,155 ,106.2 ,0 0 6 ,35 17 23 8 ,11 4 2 ,14 ,14 38 64 64 ,97 ,113 42 
San Rosendo ,3611 ,20 ,553.9 ,1 ,27.7 ,10 ,276.9 ,9 ,249.2 ,0 0 O ,0 0 O O ,0 0 0 ,1 ,1 0 2 6 ,0 ,8 2 
Santa Barbara ,14592 ,90 ,616.8 ,0 ,0.0 ,30 ,205.6 ,30 ,205.6 ,0 O 0 ,0 2 0 O ,0 0 0 ,4 ,9 7 19 8 ,11 ,23 7 
Santa Juana& ,14779 ,62 ,419.5 ,2 ,13.5 ,18 ,121.8 ,17 ,115.0 ,0 0 O ,0 0 1 0 ,0 1 0 ,0 ,0 O 3 17 ,22 ,14 4 
Talcahuano& ,158345 ,614 ,387.8 ,2 ,1.3 ,185 ,116.8 ,185 ,116.8 ,O 0 1 ,16 16 20 14 ,14 21 17 ,18 ,18 42 69 54 ,109 ,135 50 
Tirua ,11019 ,29 ,263.2 ,0 ,0.0 ,15 ,136.1 ,15 ,136.1 ,O O O ,1 2 1 O ,0 O 0 ,O ,O 0 1 4 ,5 ,9 6 
Tome ,58729 ,299 ,509.1 ,1 ,1.7 ,80 ,136.2 ,80 ,136.2 ,0 0 0 ,9 13 12 7 ,9 1 4 ,16 ,6 8 15 53 ,66 ,62 18 
Tucapel ,15205 ,111 ,730.0 ,0 ,0.0 ,51 ,335.4 ,51 ,335.4 ,0 0 0 ,0 0 1 0 ,0 0 0 ,1 ,4 6 11 25 ,12 ,24 27 
Yumbel ,22132 ,98 ,442.8 ,0 ,0.0 ,43 ,194.3 ,43 ,194.3 ,0 0 O ,0 5 O 1 ,1 1 2 ,4 ,3 5 12 3 ,18 ,37 6 
Desconocido& ,- ,160 ,- ,O ,- ,117 ,- ,117 ,- ,0 0 O ,1 O O 0 ,0 0 0 ,2 ,4 6 6 8 ,16 ,50 67 
Total ,1663696 ,7107 ,427.2 ,57 ,3.4 ,2415 ,145.2 ,2411 ,144.9 ,1 2 29 ,140 163 153 100 ,100 68 86 ,214 ,258 514 759 841 ,1264 ,1634 781 
