ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada
Region de Arica y Parinacota ,252110 ,405 ,160.6 
Region de Tarapaca ,382773 ,1053 ,275.1 
Region de Antofagasta ,691854 ,1568 ,226.6 
Region de Atacama ,314709 ,158 ,50.2 
Region de Coquimbo ,836096 ,227 ,27.1 
Region de Valparaiso ,1960170 ,1586 ,80.9 
Region Metropolitana de Santiago ,8125072 ,34380 ,423.1 
Region del Libertador General Bernardo 'Higgins ,991063 ,423 ,42.7 
Region del Maule ,1131939 ,620 ,54.8 
Region del Nuble ,511551 ,998 ,195.1 
Region del Biobio ,1663696 ,1145 ,68.8 
Region de la Araucania ,1014343 ,1633 ,161.0 
Region de Los Rios ,405835 ,223 ,54.9 
Region de Los Lagos ,891440 ,630 ,70.7 
Region de Aysen del General Carlos ibanez del Campo ,107297 ,5 ,4.7 
Region de Magallanes y la Antartica Chilena ,178362 ,968 ,542.7 
Desconocido ,- ,28 ,- 
Total pais ,19458310 ,46050 ,236.7 
