RioClaro,14753,28,189.8,2,13.6,3,20.3,3,20.3,OO0,2011,32O2,2,1,833
Romeral8 ,16170 ,104 ,643.2 ,0 ,0.0 ,36 ,222.6 ,36 ,222.6 ,0 0 0 ,1 2 0 0 ,10 0 0 O ,8 ,12 ,19 25 25 
Sagrada Familia ,19469 ,38 ,195.2 ,0 ,0.0 ,13 ,66.8 ,13 ,66.8 ,0 0 0 ,0 0 1 0 ,1 0 1 1 ,0 ,3 ,7 15 9 
San Clemente& ,46292 ,158 ,341.3 ,2 ,4.3 ,57 ,123.1 ,56 ,121.0 ,0 0 0 ,O 0 1 2 ,7 1 8 6 ,14 ,18 ,20 38 38 
San Javier ,49451 ,164 ,331.6 ,0 ,0.0 ,52 ,105.2 ,52 ,105.2 ,0 0 0 ,0 2 7 4 ,7 4 3 7 ,8 ,9 ,21 51 39 
San Rafael ,9959 ,79 ,793.3 ,0 ,0.0 ,12 ,120.5 ,12 ,120.5 ,0 0 0 ,0 1 O 1 ,1 0 0 5 ,10 ,28 ,7 18 7 
Talca8 ,236724 ,762 ,321.9 ,3 ,1.3 ,261 ,110.3 ,261 ,110.3 ,0 3 9 ,13 19 11 16 ,74 16 12 22 ,52 ,73 ,84 163 164 
Teno& ,30850 ,57 ,184.8 ,1 ,3.2 ,24 ,77.8 ,24 ,77.8 ,0 0 0 ,0 0 0 1 ,1 1 3 3 ,3 ,4 ,7 11 18 
Vichuquen ,4381 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,0 0 0 0 ,0 0 0 0 ,0 ,0 ,0 0 0 
Villa Alegre& ,17512 ,42 ,239.8 ,0 ,0.0 ,17 ,97.1 ,17 ,97.1 ,0 0 O ,0 0 O 1 ,1 0 O 1 ,2 ,O ,9 18 8 
Yerbas Buenas& ,19200 ,87 ,453.1 ,2 ,10.4 ,21 ,109.4 ,21 ,109.4 ,0 0 0 ,0 0 0 1 ,0 2 0 4 ,9 ,12 ,26 15 15 
Desconocido ,- ,59 ,- ,0 ,- ,21 ,-- ,21 ,- ,0 0 0 ,1 0 0 1 ,0 2 0 10 ,1 ,2 ,13 10 13 
Total ,1131939 ,4112 ,363.3 ,24 ,2.1 ,1361 ,120.2 ,1359 ,120.1 ,2 4 11 ,27 51 48 67 ,164 50 52 129 ,247 ,488 ,744 971 865 
