Peumo,14952,2,13.4,1,6.7,1,6.7,0,0,O,01,0,0,O0,1,0
Pichidegua ,20743 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,O ,O ,0 O ,O ,0 ,O 0 ,0 ,O 
Pichilemu ,17882 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,O ,O ,O O ,O ,O ,O O ,O ,O 
Placilla ,9164 ,1 ,10.9 ,0 ,0.0 ,0 ,0.0 ,O ,O ,O ,O 1 ,O ,O ,O O ,O ,O 
Pumanque ,3531 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0 ,O ,O O ,O ,0 ,O O ,O ,O 
Quinta de Tilcoco ,13877 ,1 ,7.2 ,O ,0.0 ,O ,0.0 ,O ,O ,O ,1 O ,O ,0 ,O O ,O ,O 
Rancagua & ,265211 ,45 ,17.0 ,18 ,6.8 ,18 ,6.8 ,0 ,0 ,O ,7 4 ,7 ,3 ,6 8 ,10 ,O 
Rengo ,63710 ,10 ,15.7 ,6 ,9.4 ,6 ,9.4 ,0 ,0 ,O ,1 1 ,O ,0 ,2 4 ,1 ,1 
Requinoa ,30371 ,4 ,13.2 ,2 ,6.6 ,2 ,6.6 ,O ,O ,0 ,2 0 ,0 ,0 ,O 2 ,0 ,O 
San Fernando ,78642 ,6 ,7.6 ,1 ,1.3 ,1 ,1.3 ,0 ,0 ,O ,2 O ,1 ,0 ,1 1 ,1 ,O 
San Vicente ,50617 ,9 ,17.8 ,5 ,9.9 ,5 ,9.9 ,O ,O ,0 ,O 3 ,1 ,0 ,O 3 ,2 ,O 
Santa Cruz ,41096 ,2 ,4.9 ,0 ,0.0 ,O ,0.0 ,O ,0 ,O ,0 1 ,O ,0 ,1 0 ,0 ,O 
Total ,991063 ,133 ,13.4 ,59 ,6.0 ,59 ,6.0 ,0 ,0 ,1 ,20 14 ,11 ,10 ,15 38 ,23 ,1 
