Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Corral ,5447 ,26 ,477.3 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 
Futrono ,15261 ,61 ,399.7 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
La Union ,39538 ,99 ,250.4 ,3 ,7.6 ,10 ,25.3 ,10 ,25.3 
Lago Ranco ,10292 ,7 ,68.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Lanco ,17652 ,28 ,158.6 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
Los Lagos ,20518 ,63 ,307.0 ,1 ,4.9 ,O ,0.0 ,0 ,0.0 
Mafil ,7389 ,20 ,270.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Mariquina ,23250 ,36 ,154.8 ,0 ,0.0 ,13 ,55.9 ,13 ,55.9 
Paillaco ,20798 ,34 ,163.5 ,1 ,4.8 ,1 ,4.8 ,1 ,4.8 
Panguipulli ,35991 ,65 ,180.6 ,1 ,2.8 ,2 ,5.6 ,2 ,5.6 
Rio Bueno ,32925 ,32 ,97.2 ,0 ,0.0 ,3 ,9.1 ,3 ,9.1 
Valdivia & ,176774 ,415 ,234.8 ,6 ,3.4 ,58 ,32.8 ,58 ,32.8 
Desconocido & ,- ,6 ,- ,O ,- ,O ,- ,0 ,- 
,,,,,,,,,
Total ,405835 ,892 ,,12 ,,87 ,,87 ,
