Peumo,&14952,125,836.0,21,140.4,21,140.4
Pichidegua ,20743 ,315 ,1518.6 ,46 ,221.8 ,46 ,221.8 
Pichilemu ,17882 ,58 ,324.3 ,3 ,16.8 ,3 ,16.8 
Placilla ,9164 ,75 ,818.4 ,2 ,21.8 ,2 ,21.8 
Pumanque ,3531 ,5 ,141.6 ,O ,0.0 ,O ,0.0 
Quinta de Tilcoco ,13877 ,132 ,951.2 ,3 ,21.6 ,3 ,21.6 
Rancagua ,& 265211 ,6434 ,2426.0 ,333 ,125.6 ,330 ,124.4 
Rengo ,& 63710 ,1219 ,1913.4 ,51 ,80.1 ,51 ,80.1 
Requinoa ,& 30371 ,448 ,1475.1 ,18 ,59.3 ,18 ,59.3 
San Fernando ,& 78642 ,686 ,872.3 ,85 ,108.1 ,85 ,108.1 
San Vicente ,& 50617 ,706 ,1394.8 ,62 ,122.5 ,62 ,122.5 
Santa Cruz ,41096 ,328 ,798.1 ,58 ,141.1 ,58 ,141.1 
Desconocido ,& - ,42 ,- ,1 ,- ,1 ,- 
