Comuna,Busquedasactivas(%),CoberturadeTesteo(%),Oportunidadnotificacion(%)
Arica ,546 ,927 ,872 
Camarones ,00 ,944 ,611 
General Lagos ,429 ,1000 ,1000 
Putre ,838 ,956 ,905 
Total ,5486 ,9273 ,8721 
