Comuna,Busquedasactivas(%),CoberturadeTesteo(%),Oportunidadnotificacion(%)
Angol ,315 ,888 ,930 
Carahue ,385 ,962 ,784 
Cholchol ,258 ,935 ,759 
Collipulli ,518 ,928 ,934 
Cunco ,526 ,969 ,957 
Curacautin ,462 ,923 ,771 
Curarrehue ,333 ,889 ,750 
Ercilla ,205 ,923 ,944 
Freire ,611 ,985 ,891 
Galvarino ,542 ,1000 ,949 
Gorbea ,667 ,909 ,922 
Lautaro ,566 ,989 ,862 
Loncoche ,211 ,974 ,838 
Lonquimay ,643 ,881 ,946 
Los Sauces ,500 ,867 ,962 
Lumaco ,63 ,875 ,1000 
Melipeuco ,333 ,905 ,1000 
Nueva Imperial ,636 ,987 ,804 
Padre Las Casas ,500 ,984 ,809 
Perquenco ,674 ,1000 ,953 
Pitrufquen ,595 ,965 ,838 
Pucon ,409 ,969 ,870 
Puren ,490 ,1000 ,902 
Renaico ,415 ,906 ,875 
Saavedra ,188 ,938 ,900 
Temuco ,608 ,963 ,610 
Teodoro Schmidt ,750 ,981 ,961 
Tolten ,105 ,1000 ,789 
Traiguen ,286 ,1000 ,929 
Victoria ,294 ,974 ,741 
Vilcun ,269 ,968 ,868 
