,,,,,,,,Numerode,Casossegun,FechadeIniciodeSintomas.NotificacionOToma,de,Muestra,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 ,SE SE 19 20 ,SE SE SE 21 22 23 ,SE 24 ,SE SE 25 26 
Chepica ,15925 ,58 ,364.2 ,1 ,6.3 ,19 ,119.3 ,19 ,119.3 ,1 0 0 0 0 0 0 0 0 0 ,1 7 ,0 4 6 ,20 ,16 3 
Chimbarongo ,37696 ,90 ,238.8 ,1 ,2.7 ,23 ,61.0 ,23 ,61.0 ,0 0 0 2 1 0 0 0 1 1 ,5 13 ,8 7 12 ,17 ,15 8 
Codegua ,14096 ,84 ,595.9 ,2 ,14.2 ,32 ,227.0 ,32 ,227.0 ,0 0 O 1 0 0 0 0 0 0 ,1 3 ,7 10 12 ,18 ,21 11 
Coinco ,7831 ,59 ,753.4 ,2 ,25.5 ,21 ,268.2 ,21 ,268.2 ,0 0 O O 0 O 0 0 1 0 ,4 10 ,8 3 5 ,7 ,17 4 
Coltauco ,21263 ,81 ,380.9 ,3 ,14.1 ,27 ,127.0 ,27 ,127.0 ,O 0 0 0 0 0 0 0 0 O ,15 9 ,13 4 4 ,9 ,18 9 
Donihue ,22700 ,186 ,819.4 ,2 ,8.8 ,77 ,339.2 ,77 ,339.2 ,O 0 O O O O 0 1 1 5 ,12 16 ,15 9 19 ,31 ,63 14 
Graneros ,36504 ,257 ,704.0 ,2 ,5.5 ,87 ,238.3 ,87 ,238.3 ,0 0 O 0 0 O 0 0 3 7 ,13 22 ,24 22 31 ,48 ,59 28 
La Estrella ,3114 ,20 ,642.3 ,O ,0.0 ,9 ,289.0 ,9 ,289.0 ,O 0 O 0 0 O 0 0 0 0 ,O 0 ,0 1 4 ,6 ,2 7 
Las Cabras& ,26749 ,86 ,321.5 ,1 ,3.7 ,39 ,145.8 ,39 ,145.8 ,O 0 O O O O 1 2 4 3 ,2 4 ,3 5 9 ,14 ,24 15 
Litueche ,6765 ,55 ,813.0 ,1 ,14.8 ,21 ,310.4 ,21 ,310.4 ,O 0 O O O O O 1 5 2 ,2 3 ,0 1 6 ,14 ,20 1 
Lolol ,7289 ,39 ,535.1 ,O ,0.0 ,13 ,178.4 ,13 ,178.4 ,0 0 O 0 0 O 0 0 0 0 ,1 2 ,1 10 5 ,7 ,6 7 
Machalie ,59913 ,540 ,901.3 ,6 ,10.0 ,278 ,464.0 ,277 ,462.3 ,0 0 1 4 1 O 4 0 5 4 ,9 18 ,25 35 54 ,102 ,201 77 
Malloa& ,14163 ,42 ,296.5 ,2 ,14.1 ,16 ,113.0 ,16 ,113.0 ,O O O O O O O O O O ,1 3 ,1 4 6 ,11 ,10 6 
Marchihue ,7632 ,12 ,157.2 ,O ,0.0 ,3 ,39.3 ,3 ,39.3 ,O O O O O O O O O 0 ,O O ,1 3 O ,5 ,3 O 
Mostazal ,27462 ,140 ,509.8 ,3 ,10.9 ,41 ,149.3 ,41 ,149.3 ,0 0 O 0 0 O 0 0 0O 3 ,4 6 ,15 21 27 ,23 ,24 17 
Nancagua ,19141 ,54 ,282.1 ,O ,0.0 ,8 ,41.8 ,8 ,41.8 ,0 0 O O O O O O O 1 ,1 11 ,5 9 7 ,12 ,8 0 
Navidad ,6904 ,52 ,753.2 ,O ,0.0 ,11 ,159.3 ,11 ,159.3 ,O 0 O 0 O O O O 3 0 ,6 2 ,6 1 11 ,12 ,8 3 
Olivar ,14624 ,97 ,663.3 ,1 ,6.8 ,34 ,232.5 ,34 ,232.5 ,0 0 O 0 1 2 2 1 0 0 ,8 4 ,12 5 12 ,16 ,25 9 
Palmilla ,13299 ,26 ,195.5 ,2 ,15.0 ,7 ,52.6 ,7 ,52.6 ,0 0 O O O O 0 0 1 0 ,O 2 ,3 1 5 ,7 ,5 2 
Paredones ,6349 ,11 ,173.3 ,0 ,0.0 ,1 ,15.8 ,1 ,15.8 ,0 O 0 0 0 O O O O O ,O 2 ,2 1 3 ,2 ,1 O 
