Vitacura&,96774,780,806.0,130,134.3,129,133.3,O7,32,46,29,12,6,5,13,54,146,191,145,80
Total ,8125072 ,98958 ,1217.9 ,16307 ,200.7 ,16171 ,199.0 ,13 69 ,336 ,964 ,1035 ,1284 ,1599 ,2311 ,4260 ,10456 ,19514 ,24369 ,21759 ,10164 
