Peumo,14952,181,1210.5,37,247.5,37,247.5
Pichidegua ,20743 ,435 ,2097.1 ,74 ,356.7 ,74 ,356.7 
Pichilemu ,17882 ,64 ,357.9 ,6 ,33.6 ,6 ,33.6 
Placilla & ,9164 ,89 ,971.2 ,13 ,141.9 ,13 ,141.9 
Pumanque ,3531 ,7 ,198.2 ,2 ,56.6 ,2 ,56.6 
Quinta de Tilcoco ,13877 ,136 ,980.0 ,4 ,28.8 ,4 ,28.8 
Rancagua & ,265211 ,6881 ,2594.5 ,325 ,122.5 ,324 ,122.2 
Rengo ,63710 ,1291 ,2026.4 ,45 ,70.6 ,45 ,70.6 
Requinoa ,30371 ,478 ,1573.9 ,22 ,72.4 ,22 ,72.4 
San Fernando & ,78642 ,833 ,1059.2 ,94 ,119.5 ,94 ,119.5 
San Vicente & ,50617 ,801 ,1582.5 ,63 ,124.5 ,63 ,124.5 
Santa Cruz & ,41096 ,463 ,1126.6 ,94 ,228.7 ,94 ,228.7 
Desconocido & ,- ,48 ,- ,6 ,- ,6 ,- 
Total ,991063 ,17244 ,1739.9 ,1200 ,121.1 ,1197 ,120.8 
