Puren,12188,4,32.8,1,8.2,1,8.2,0,O,0,0,2,0,0,1,1,0,0
Renaico ,10833 ,5 ,46.2 ,1 ,9.2 ,1 ,9.2 ,0 ,O ,0 ,0 ,1 ,1 ,1 ,1 ,0 ,1 ,0 
Saavedra ,12793 ,33 ,258.0 ,17 ,132.9 ,17 ,132.9 ,O ,0 ,O ,0 ,O ,1 ,5 ,8 ,16 ,3 ,0 
Temuco ,302931 ,683 ,225.5 ,31 ,10.2 ,29 ,9.6 ,O ,4 ,27 ,155 ,173 ,129 ,104 ,58 ,23 ,10 ,O 
Teodoro Schmidt ,15786 ,6 ,38.0 ,0 ,0.0 ,0 ,0.0 ,O ,O ,O ,2 ,2 ,0 ,1 ,1 ,O ,O ,0 
Tolten ,10055 ,6 ,59.7 ,O ,0.0 ,O ,0.0 ,O ,O ,O ,3 ,1 ,2 ,O ,O ,O ,O ,O 
Traiguen ,19314 ,2 ,10.4 ,O ,0.0 ,0 ,0.0 ,O ,O ,0 ,0 ,O ,1 ,0 ,1 ,O ,O ,0 
Victoria ,35467 ,71 ,200.2 ,25 ,70.5 ,25 ,70.5 ,0 ,O ,0 ,2 ,7 ,3 ,3 ,28 ,20 ,8 ,0 
Vilcun ,30766 ,45 ,146.3 ,3 ,9.8 ,3 ,9.8 ,0 ,0 ,0 ,6 ,10 ,16 ,7 ,3 ,3 ,0 ,0 
Villarrica ,59103 ,20 ,33.8 ,1 ,1.7 ,1 ,1.7 ,O ,O ,0 ,2 ,10 ,6 ,1 ,O ,1 ,O ,0 
Total ,1014343 ,1325 ,130.6 ,137 ,13.5 ,135 ,13.3 ,1 ,5 ,31 ,218 ,290 ,238 ,192 ,194 ,125 ,31 ,0 
