SagradaFamilia,,19469,82,421.2,1,5.1,9,46.2,9,46.2
San Clemente ,,46292 ,468 ,1011.0 ,4 ,8.6 ,78 ,168.5 ,78 ,168.5 
San Javier ,& ,49451 ,370 ,748.2 ,9 ,18.2 ,76 ,153.7 ,76 ,153.7 
San Rafael ,,9959 ,124 ,1245.1 ,O ,0.0 ,8 ,80.3 ,8 ,80.3 
Talca ,& ,236724 ,1755 ,741.4 ,24 ,10.1 ,195 ,82.4 ,194 ,82.0 
Teno ,,30850 ,199 ,645.1 ,4 ,13.0 ,34 ,110.2 ,34 ,110.2 
Vichuquen ,,4381 ,5 ,114.1 ,O ,0.0 ,4 ,91.3 ,4 ,91.3 
Villa Alegre ,& ,17512 ,109 ,622.4 ,2 ,11.4 ,21 ,119.9 ,21 ,119.9 
Yerbas Buenas ,,19200 ,114 ,593.8 ,5 ,26.0 ,14 ,72.9 ,14 ,72.9 
Desconocido ,& ,- ,40 ,- ,O ,- ,6 ,- ,6 ,- 
