Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alhue ,& ,7405 ,160 ,2160.7 ,3 ,40.5 ,30 ,405.1 ,30 ,405.1 
Buin ,& ,109641 ,2185 ,1992.9 ,71 ,64.8 ,153 ,139.5 ,152 ,138.6 
Calera de Tango ,& ,28525 ,538 ,1886.1 ,7 ,24.5 ,36 ,126.2 ,36 ,126.2 
Cerrillos ,& ,88956 ,2850 ,3203.8 ,67 ,75.3 ,124 ,139.4 ,123 ,138.3 
Cerro Navia ,& ,142465 ,6063 ,4255.8 ,221 ,155.1 ,200 ,140.4 ,200 ,140.4 
Colina ,& ,180353 ,4397 ,2438.0 ,99 ,54.9 ,168 ,93.2 ,167 ,92.6 
Conchali ,& ,139195 ,5854 ,4205.6 ,200 ,143.7 ,202 ,145.1 ,201 ,144.4 
Curacavi ,& ,36430 ,833 ,2286.6 ,14 ,38.4 ,60 ,164.7 ,60 ,164.7 
EI Bosque ,& ,172000 ,6055 ,3520.3 ,190 ,110.5 ,281 ,163.4 ,280 ,162.8 
EI Monte ,& ,40014 ,1093 ,2731.5 ,36 ,90.0 ,80 ,199.9 ,80 ,199.9 
Estacion Central ,& ,206792 ,5922 ,2863.7 ,130 ,62.9 ,247 ,119.4 ,246 ,119.0 
Huechuraba ,& ,112528 ,3571 ,3173.4 ,130 ,115.5 ,124 ,110.2 ,124 ,110.2 
Independencia ,& ,142065 ,6179 ,4349.4 ,214 ,150.6 ,193 ,135.9 ,192 ,135.1 
Isla de Maipo ,& ,40171 ,753 ,1874.5 ,17 ,42.3 ,91 ,226.5 ,91 ,226.5 
La Cisterna ,& ,100434 ,3012 ,2999.0 ,103 ,102.6 ,121 ,120.5 ,121 ,120.5 
La Florida ,& ,402433 ,12936 ,3214.4 ,419 ,104.1 ,485 ,120.5 ,482 ,119.8 
La Granja ,& ,122557 ,6701 ,5467.7 ,182 ,148.5 ,162 ,132.2 ,162 ,132.2 
La Pintana ,& ,189335 ,9245 ,4882.9 ,284 ,150.0 ,291 ,153.7 ,289 ,152.6 
La Reina ,& ,100252 ,2086 ,2080.8 ,78 ,77.8 ,82 ,81.8 ,80 ,79.8 
Lampa ,& ,126898 ,3312 ,2610.0 ,49 ,38.6 ,185 ,145.8 ,185 ,145.8 
Las Condes ,& ,330759 ,5494 ,1661.0 ,259 ,78.3 ,189 ,57.1 ,187 ,56.5 
Lo Barnechea ,& ,124076 ,3039 ,2449.3 ,63 ,50.8 ,64 ,51.6 ,64 ,51.6 
Lo Espejo ,& ,103865 ,3991 ,3842.5 ,173 ,166.6 ,191 ,183.9 ,186 ,179.1 
Lo Prado ,& ,104403 ,4572 ,4379.2 ,125 ,119.7 ,267 ,255.7 ,267 ,255.7 
