Purranque,21080,202,958.3,25,118.6,25,118.6
Puyehue ,11787 ,72 ,610.8 ,12 ,101.8 ,12 ,101.8 
Queilen ,5543 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 
Quellon ,29309 ,7 ,23.9 ,0 ,0.0 ,0 ,0.0 
Quemchi ,8783 ,16 ,182.2 ,0 ,0.0 ,0 ,0.0 
Quinchao ,8298 ,3 ,36.2 ,0 ,0.0 ,0 ,0.0 
Rio Negro ,14275 ,91 ,637.5 ,10 ,70.1 ,10 ,70.1 
San Juan de la Costa ,7639 ,73 ,955.6 ,8 ,104.7 ,8 ,104.7 
San Pablo ,10553 ,35 ,331.7 ,2 ,19.0 ,2 ,19.0 
Desconocido ,& - ,75 ,- ,10 ,- ,10 ,- 
Total ,891440 ,7481 ,839.2 ,832 ,93.3 ,832 ,93.3 
