Purranque,21080,125,593.0,2,9.5,24,113.9,23,109.1
Puyehue ,11787 ,37 ,313.9 ,O ,0.0 ,9 ,76.4 ,9 ,76.4 
Queilen ,5543 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Quellon ,29309 ,7 ,23.9 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Quemchi ,8783 ,14 ,159.4 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Quinchao ,8298 ,3 ,36.2 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Rio Negro ,14275 ,68 ,476.4 ,1 ,7.0 ,11 ,77.1 ,11 ,77.1 
San Juan de la Costa ,7639 ,57 ,746.2 ,3 ,39.3 ,4 ,52.4 ,4 ,52.4 
San Pablo ,10553 ,27 ,255.9 ,1 ,9.5 ,7 ,66.3 ,7 ,66.3 
Desconocido ,& - ,78 ,- ,0 ,- ,11 ,- ,11 ,- 
Total ,891440 ,5589 ,627.0 ,57 ,6.4 ,1019 ,114.3 ,1017 ,114.1 
