,,NOcasos,
Region ,Notificados ,Confirmados ,Tasa confirmacion (&) 
Arica y Parinacota ,91 ,2 ,0.8 
Tarapaca ,176 ,4 ,1.0 
Antofagasta ,238 ,13 ,1.9 
Atacama ,95 ,1 ,0.3 
Coquimbo ,214 ,11 ,1.3 
Valparaiso ,757 ,25 ,1.3 
Metropolitana ,5861 ,540 ,6.6 
O'Higgins ,202 ,9 ,0.9 
Maule ,563 ,29 ,2.6 
Nuble ,691 ,105 ,20.5 
Biobio ,745 ,73 ,4.4 
Araucania ,439 ,59 ,5.8 
LOs Rios ,185 ,6 ,1.5 
Los Lagos ,340 ,36 ,4.0 
Aisen ,21 ,1 ,0.9 
Magallanes ,150 ,8 ,4.5 
Total pais ,10768 ,922 ,4.7 
