ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada,NumerodeCasosActivos,TasadeCasosActivos
Region de Arica y Parinacota ,252110 ,3420 ,1356.6 ,886 ,351.4 
Region de Tarapaca ,382773 ,7867 ,2055.3 ,681 ,177.9 
Region de Antofagasta ,691854 ,13868 ,2004.5 ,1546 ,223.5 
Region de Atacama ,314709 ,1947 ,618.7 ,425 ,135.0 
Region de Coquimbo ,836096 ,5560 ,665.0 ,1035 ,123.8 
Region de Valparaiso ,1960170 ,19397 ,989.6 ,1809 ,92.3 
Region Metropolitana de Santiago ,8125072 ,275391 ,3389.4 ,11062 ,136.1 
Region del Libertador General Bernardo OHiggins ,991063 ,11283 ,1138.5 ,1516 ,153.0 
Region del Maule ,1131939 ,8584 ,758.3 ,1104 ,97.5 
Region del Nuble ,511551 ,4061 ,793.9 ,640 ,125.1 
Region del Biobio ,1663696 ,10601 ,637.2 ,1484 ,89.2 
Region de la Araucania ,1014343 ,3769 ,371.6 ,185 ,18.2 
Region de LOs Rios ,405835 ,870 ,214.4 ,101 ,24.9 
Region de Los Lagos ,891440 ,2923 ,327.9 ,550 ,61.7 
Region de Aysen del General Carlos ibanez del Campo ,107297 ,67 ,62.4 ,20 ,18.6 
Region de Magallanes y la Antartica Chilena ,178362 ,1641 ,920.0 ,100 ,56.1 
Desconocido ,- ,74 ,- ,3 ,- 
Total pais ,19458310 ,371323 ,1908.3 ,23147 ,119.0 
